"id","start_id","start_vertex_type","end_id","end_vertex_type","distance"
"1","1388","AirPort","794","AirPort","1373"
"2","2998","AirPort","823","AirPort","11833"
"3","2058","AirPort","2423","AirPort","2180"
"4","794","AirPort","2868","AirPort","880"
"5","2187","AirPort","2422","AirPort","9946"
"6","209","AirPort","1907","AirPort","8074"
"7","2991","AirPort","2169","AirPort","14881"
"8","1968","AirPort","1696","AirPort","3246"
"9","1824","AirPort","1960","AirPort","11337"
"10","2502","AirPort","299","AirPort","2123"
"11","2878","AirPort","588","AirPort","3762"
"12","2122","AirPort","2082","AirPort","15625"
"13","3084","AirPort","3305","AirPort","5210"
"14","1920","AirPort","3216","AirPort","13484"
"15","358","AirPort","1000","AirPort","12242"
"16","591","AirPort","1567","AirPort","7197"
"17","1613","AirPort","3200","AirPort","1328"
"18","835","AirPort","1226","AirPort","2896"
"19","2747","AirPort","62","AirPort","900"
"20","2060","AirPort","3215","AirPort","13777"
"21","1374","AirPort","105","AirPort","851"
"22","2348","AirPort","2861","AirPort","1011"
"23","731","AirPort","2944","AirPort","14599"
"24","3252","AirPort","2469","AirPort","7127"
"25","1916","AirPort","1579","AirPort","207"
"26","1820","AirPort","3498","AirPort","10687"
"27","1940","AirPort","456","AirPort","9049"
"28","2051","AirPort","1842","AirPort","5164"
"29","3487","AirPort","319","AirPort","2463"
"30","2363","AirPort","3298","AirPort","4238"
"31","677","AirPort","19","AirPort","1782"
"32","2202","AirPort","1878","AirPort","8856"
"33","1256","AirPort","2554","AirPort","11778"
"34","848","AirPort","2998","AirPort","5690"
"35","630","AirPort","2213","AirPort","12997"
"36","3121","AirPort","1162","AirPort","423"
"37","1265","AirPort","2528","AirPort","3950"
"38","2649","AirPort","3120","AirPort","11122"
"39","677","AirPort","2777","AirPort","10890"
"40","1139","AirPort","2768","AirPort","10873"
"41","1812","AirPort","2159","AirPort","3532"
"42","2093","AirPort","1330","AirPort","11320"
"43","1074","AirPort","2433","AirPort","12557"
"44","1801","AirPort","406","AirPort","7421"
"45","163","AirPort","1807","AirPort","13413"
"46","3215","AirPort","594","AirPort","13107"
"47","2722","AirPort","156","AirPort","9280"
"48","1014","AirPort","3114","AirPort","4141"
"49","3057","AirPort","2180","AirPort","9395"
"50","2470","AirPort","2550","AirPort","13642"
"51","2555","AirPort","2606","AirPort","12491"
"52","2756","AirPort","3268","AirPort","13347"
"53","2893","AirPort","407","AirPort","4003"
"54","2974","AirPort","3442","AirPort","1103"
"55","3211","AirPort","3064","AirPort","9246"
"56","1395","AirPort","1959","AirPort","6088"
"57","1072","AirPort","3484","AirPort","15737"
"58","2877","AirPort","2543","AirPort","3125"
"59","2326","AirPort","2570","AirPort","8643"
"60","1554","AirPort","372","AirPort","14144"
"61","2118","AirPort","51","AirPort","6863"
"62","379","AirPort","470","AirPort","8157"
"63","1611","AirPort","1084","AirPort","11537"
"64","2298","AirPort","263","AirPort","15263"
"65","2134","AirPort","307","AirPort","10070"
"66","1500","AirPort","915","AirPort","2111"
"67","1976","AirPort","1493","AirPort","5099"
"68","504","AirPort","3489","AirPort","12393"
"69","2494","AirPort","886","AirPort","15749"
"70","2334","AirPort","1663","AirPort","10766"
"71","620","AirPort","964","AirPort","14991"
"72","2524","AirPort","2003","AirPort","13709"
"73","726","AirPort","2760","AirPort","6629"
"74","3265","AirPort","426","AirPort","6664"
"75","1869","AirPort","1218","AirPort","15346"
"76","1727","AirPort","1784","AirPort","8994"
"77","1887","AirPort","665","AirPort","15756"
"78","170","AirPort","2865","AirPort","3787"
"79","3421","AirPort","134","AirPort","6876"
"80","2337","AirPort","2729","AirPort","7271"
"81","830","AirPort","645","AirPort","9835"
"82","1447","AirPort","1513","AirPort","12814"
"83","1035","AirPort","583","AirPort","5509"
"84","1891","AirPort","946","AirPort","4552"
"85","384","AirPort","1964","AirPort","3846"
"86","1461","AirPort","2762","AirPort","4256"
"87","3152","AirPort","1780","AirPort","4696"
"88","1190","AirPort","618","AirPort","7514"
"89","2441","AirPort","1094","AirPort","2199"
"90","2897","AirPort","2352","AirPort","13153"
"91","3051","AirPort","3077","AirPort","5063"
"92","704","AirPort","3497","AirPort","840"
"93","2574","AirPort","1071","AirPort","800"
"94","623","AirPort","153","AirPort","15251"
"95","459","AirPort","1215","AirPort","7446"
"96","2138","AirPort","2842","AirPort","11157"
"97","1606","AirPort","322","AirPort","7600"
"98","1900","AirPort","2435","AirPort","11433"
"99","701","AirPort","2549","AirPort","12749"
"100","2779","AirPort","1075","AirPort","12160"
"101","12","AirPort","524","AirPort","8158"
"102","3213","AirPort","2256","AirPort","12683"
"103","3411","AirPort","3192","AirPort","9444"
"104","2558","AirPort","955","AirPort","2588"
"105","564","AirPort","1574","AirPort","13349"
"106","2187","AirPort","538","AirPort","9909"
"107","83","AirPort","1626","AirPort","10962"
"108","427","AirPort","2149","AirPort","12057"
"109","2377","AirPort","1131","AirPort","6832"
"110","2461","AirPort","1250","AirPort","6513"
"111","239","AirPort","1058","AirPort","5080"
"112","2425","AirPort","789","AirPort","9497"
"113","2534","AirPort","726","AirPort","12522"
"114","1320","AirPort","1659","AirPort","7528"
"115","3446","AirPort","2260","AirPort","6195"
"116","3018","AirPort","344","AirPort","9762"
"117","2150","AirPort","2421","AirPort","7649"
"118","963","AirPort","1003","AirPort","4347"
"119","2916","AirPort","32","AirPort","8739"
"120","114","AirPort","3423","AirPort","9534"
"121","2199","AirPort","1672","AirPort","11604"
"122","2378","AirPort","1393","AirPort","12653"
"123","1009","AirPort","203","AirPort","6525"
"124","508","AirPort","1754","AirPort","10929"
"125","133","AirPort","1006","AirPort","7373"
"126","1766","AirPort","2204","AirPort","750"
"127","1147","AirPort","2588","AirPort","14945"
"128","3154","AirPort","586","AirPort","5482"
"129","1316","AirPort","1359","AirPort","2892"
"130","1405","AirPort","3413","AirPort","14077"
"131","898","AirPort","3467","AirPort","11330"
"132","3173","AirPort","2236","AirPort","1030"
"133","2602","AirPort","33","AirPort","619"
"134","3002","AirPort","826","AirPort","5728"
"135","3263","AirPort","1536","AirPort","9749"
"136","2325","AirPort","2448","AirPort","8825"
"137","3232","AirPort","70","AirPort","10314"
"138","2492","AirPort","2324","AirPort","13701"
"139","691","AirPort","1303","AirPort","7102"
"140","1170","AirPort","928","AirPort","5955"
"141","3235","AirPort","1114","AirPort","4898"
"142","2782","AirPort","1426","AirPort","12780"
"143","3110","AirPort","1745","AirPort","15117"
"144","2619","AirPort","2296","AirPort","6836"
"145","2574","AirPort","1877","AirPort","5903"
"146","2506","AirPort","1967","AirPort","5444"
"147","3459","AirPort","1675","AirPort","15775"
"148","1872","AirPort","1080","AirPort","7608"
"149","1358","AirPort","1712","AirPort","9191"
"150","1508","AirPort","1226","AirPort","12530"
"151","2009","AirPort","2382","AirPort","15307"
"152","2831","AirPort","3256","AirPort","2057"
"153","991","AirPort","437","AirPort","1934"
"154","428","AirPort","41","AirPort","4418"
"155","2545","AirPort","416","AirPort","416"
"156","864","AirPort","231","AirPort","14233"
"157","243","AirPort","2455","AirPort","12575"
"158","2373","AirPort","481","AirPort","15833"
"159","732","AirPort","2856","AirPort","3509"
"160","1605","AirPort","889","AirPort","7030"
"161","2388","AirPort","550","AirPort","6135"
"162","166","AirPort","3279","AirPort","3277"
"163","821","AirPort","1168","AirPort","15290"
