"id","start_id","start_vertex_type","end_id","end_vertex_type","since"
"1","86","Country","3633","City","1975-12-07 04:45:00.790431"
"2","22","Country","6194","City","1984-06-05 13:23:51.858147"
"3","80","Country","6479","City","1986-10-20 01:18:47.200926"
"4","185","Country","8148","City","1990-01-05 14:47:47.343686"
"5","200","Country","1019","City","1990-10-22 11:14:58.675875"
"6","76","Country","6698","City","1986-01-30 10:22:17.003928"
"7","132","Country","8667","City","1989-07-19 03:16:52.562952"
"8","18","Country","7048","City","1975-11-27 06:28:44.399410"
"9","155","Country","6712","City","1977-03-08 23:04:13.986520"
"10","42","Country","9049","City","1989-03-22 18:06:16.755158"
"11","45","Country","8184","City","1975-01-25 05:39:14.469486"
"12","66","Country","2530","City","1992-07-12 11:48:54.577700"
"13","135","Country","7749","City","1992-10-29 03:28:33.364415"
"14","196","Country","2117","City","1980-11-23 11:57:12.210842"
"15","159","Country","4347","City","1970-02-15 05:34:53.827112"
"16","166","Country","1655","City","1992-04-06 05:36:32.697152"
"17","27","Country","7291","City","2016-02-29 10:59:36.153735"
"18","176","Country","3174","City","2003-07-22 23:55:43.002286"
"19","150","Country","4494","City","1970-11-13 23:21:44.129395"
"20","110","Country","1598","City","1976-02-29 17:02:27.217521"
"21","108","Country","3723","City","1983-03-14 15:40:58.964813"
"22","61","Country","4501","City","2002-12-31 15:52:18.845479"
"23","153","Country","1017","City","1977-07-14 14:54:47.586210"
"24","104","Country","8946","City","2021-06-24 20:46:35.814064"
"25","52","Country","2952","City","2016-10-02 06:02:34.189774"
"26","139","Country","5739","City","1989-11-19 13:38:08.254360"
"27","146","Country","8844","City","2010-06-07 09:03:02.469681"
"28","124","Country","6717","City","2017-02-13 02:41:55.817328"
"29","111","Country","1612","City","1974-09-17 21:13:53.480379"
"30","104","Country","8382","City","1994-09-06 02:22:55.296818"
"31","158","Country","1419","City","2017-08-28 02:02:38.681254"
"32","75","Country","9707","City","1992-10-26 08:29:41.422366"
"33","192","Country","899","City","2020-12-10 19:45:39.299386"
"34","7","Country","5519","City","1977-03-13 12:44:26.748245"
"35","175","Country","957","City","1997-10-01 02:52:30.800830"
"36","36","Country","3111","City","1991-01-27 03:48:48.898716"
"37","159","Country","6991","City","1982-11-16 15:20:34.812791"
"38","124","Country","2717","City","1995-05-14 21:11:48.896923"
"39","153","Country","188","City","1979-04-12 07:03:46.781979"
"40","32","Country","253","City","1993-01-21 16:09:46.523426"
"41","153","Country","9443","City","2021-11-06 17:59:00.232265"
"42","57","Country","7676","City","2023-11-02 10:18:58.191968"
"43","116","Country","7253","City","2021-10-26 22:08:02.896866"
"44","113","Country","5101","City","2010-06-05 11:35:39.877520"
"45","121","Country","8917","City","1971-01-14 17:47:48.122927"
"46","84","Country","615","City","1972-11-01 12:18:50.697437"
"47","156","Country","1315","City","1993-04-13 10:22:54.718590"
"48","42","Country","5840","City","1990-05-25 19:17:55.085352"
"49","154","Country","8415","City","2016-12-08 06:06:29.152180"
"50","1","Country","446","City","2019-01-05 13:32:16.946311"
"51","171","Country","280","City","2014-06-17 06:00:01.731253"
"52","40","Country","7825","City","2002-06-07 18:47:01.493241"
"53","140","Country","4377","City","1997-01-01 15:10:36.908062"
"54","91","Country","8738","City","2010-05-31 04:27:59.083492"
"55","192","Country","9556","City","2010-09-29 09:49:05.264774"
"56","167","Country","1318","City","1994-12-17 02:39:25.147095"
"57","10","Country","7402","City","2016-04-23 01:55:27.818310"
"58","52","Country","1148","City","1981-02-20 06:41:45.932034"
