"id","available_since","inserted_at","address","schema_version"
"1","2025-01-21 17:25:38.983981","2025-01-21 17:25:38.983981","bitcoinaddress:vbxHGnUF4QXGeNHL","1"
"2","2025-01-07 23:11:01.925409","2025-01-07 23:11:01.925409","bitcoinaddress:we71pe2pFVrNKkuW","1"
"3","2025-01-20 20:44:29.858322","2025-01-20 20:44:29.858322","cryptoaddress:3NEvixCgjsLnmqgw","1"
"4","2025-01-18 21:38:41.918006","2025-01-18 21:38:41.918006","cryptoaddress:G2aKWSBVHaSvyAdt","1"
"5","2025-01-09 22:41:39.820790","2025-01-09 22:41:39.820790","bitcoinaddress:yAZAw4Nab8LLJDaf","1"
"6","2025-01-02 15:13:10.107264","2025-01-02 15:13:10.107264","cryptoaddress:NP155AQ1PoA76za2","1"
"7","2025-01-05 16:25:33.450799","2025-01-05 16:25:33.450799","cryptoaddress:9HcQqdqs5rHvw25a","1"
"8","2025-01-10 15:51:30.219151","2025-01-10 15:51:30.219151","cryptoaddress:447tCa56UD3c4ggA","1"
"9","2025-01-13 21:20:56.071754","2025-01-13 21:20:56.071754","bitcoinaddress:zbKxnd7SQvx1AGsN","1"
"10","2025-01-08 09:02:38.161490","2025-01-08 09:02:38.161490","cryptoaddress:p9tsmbPGAXwDe19B","1"
"11","2025-01-07 20:11:00.735522","2025-01-07 20:11:00.735522","bitcoinaddress:ajfb6pQs2PfY7wc7","1"
"12","2025-01-02 10:31:42.013472","2025-01-02 10:31:42.013472","bitcoinaddress:ZnJ4uUnYd7fAVhK5","1"
"13","2025-01-04 23:24:15.769729","2025-01-04 23:24:15.769729","cryptoaddress:hKkUuMK6ad7PCoBt","1"
"14","2025-01-07 00:05:37.159403","2025-01-07 00:05:37.159403","cryptoaddress:FSy35RXYfsyqctP1","1"
"15","2025-01-13 08:22:37.405724","2025-01-13 08:22:37.405724","bitcoinaddress:7hyj6taSuWZN7TzD","1"
"16","2025-01-13 00:24:06.996871","2025-01-13 00:24:06.996871","bitcoinaddress:dZukeDa552KmH2UM","1"
"17","2025-01-18 10:36:52.335575","2025-01-18 10:36:52.335575","cryptoaddress:e9zv8yTPFiSBVeYb","1"
"18","2025-01-14 14:11:35.069463","2025-01-14 14:11:35.069463","bitcoinaddress:2y5XgxhYR5Yq8LB2","1"
"19","2025-01-19 20:02:55.524599","2025-01-19 20:02:55.524599","cryptoaddress:MhDgKXusXzjL1AgB","1"
"20","2025-01-13 23:03:41.384043","2025-01-13 23:03:41.384043","cryptoaddress:V8viStxWc8dhPbBN","1"
"21","2025-01-11 20:10:45.088472","2025-01-11 20:10:45.088472","cryptoaddress:kHUdx6QuhMzpSjiQ","1"
"22","2025-01-19 22:45:45.259091","2025-01-19 22:45:45.259091","cryptoaddress:Yuuc1Y78JdUgJzqp","1"
