"id","start_id","start_vertex_type","end_id","end_vertex_type","available_since","inserted_at"
"1","719","CreditCard","1532","Payment","2025-01-05 18:59:48.910719","2025-01-05 18:59:48.910719"
"2","1025","CreditCard","2153","Payment","2025-01-03 17:06:29.660728","2025-01-03 17:06:29.660728"
"3","563","CreditCard","2622","Payment","2025-01-01 05:33:03.489332","2025-01-01 05:33:03.489332"
"4","1042","CreditCard","350","Payment","2025-01-12 06:40:14.256650","2025-01-12 06:40:14.256650"
"5","178","CreditCard","6829","Payment","2025-01-05 10:46:40.932631","2025-01-05 10:46:40.932631"
"6","662","CreditCard","4689","Payment","2025-01-22 06:17:04.332848","2025-01-22 06:17:04.332848"
"7","53","CreditCard","6964","Payment","2025-01-11 11:11:03.986165","2025-01-11 11:11:03.986165"
"8","844","CreditCard","4496","Payment","2025-01-08 16:22:17.454288","2025-01-08 16:22:17.454288"
"9","23","CreditCard","6385","Payment","2025-01-04 03:38:57.257594","2025-01-04 03:38:57.257594"
"10","1112","CreditCard","2492","Payment","2025-01-05 19:37:39.227688","2025-01-05 19:37:39.227688"
"11","748","CreditCard","1915","Payment","2025-01-14 01:30:41.327801","2025-01-14 01:30:41.327801"
"12","243","CreditCard","1166","Payment","2025-01-18 04:20:33.162478","2025-01-18 04:20:33.162478"
"13","161","CreditCard","3568","Payment","2025-01-05 02:57:32.925586","2025-01-05 02:57:32.925586"
"14","497","CreditCard","5089","Payment","2025-01-03 16:45:47.808034","2025-01-03 16:45:47.808034"
"15","332","CreditCard","6301","Payment","2025-01-13 12:49:45.285526","2025-01-13 12:49:45.285526"
"16","319","CreditCard","3216","Payment","2025-01-06 13:30:58.411973","2025-01-06 13:30:58.411973"
"17","399","CreditCard","168","Payment","2025-01-09 04:29:23.181993","2025-01-09 04:29:23.181993"
"18","1156","CreditCard","1745","Payment","2025-01-10 05:49:21.973756","2025-01-10 05:49:21.973756"
"19","954","CreditCard","535","Payment","2025-01-13 06:49:02.988742","2025-01-13 06:49:02.988742"
"20","99","CreditCard","2605","Payment","2025-01-07 22:05:07.708175","2025-01-07 22:05:07.708175"
"21","832","CreditCard","2925","Payment","2025-01-01 20:54:30.858057","2025-01-01 20:54:30.858057"
"22","373","CreditCard","1652","Payment","2025-01-15 05:47:29.839344","2025-01-15 05:47:29.839344"
"23","813","CreditCard","2002","Payment","2025-01-23 03:13:11.631049","2025-01-23 03:13:11.631049"
"24","60","CreditCard","5981","Payment","2025-01-06 18:25:45.037638","2025-01-06 18:25:45.037638"
"25","1134","CreditCard","4905","Payment","2025-01-03 19:38:09.891539","2025-01-03 19:38:09.891539"
"26","1015","CreditCard","725","Payment","2025-01-17 02:13:43.756792","2025-01-17 02:13:43.756792"
"27","472","CreditCard","4298","Payment","2025-01-10 22:00:42.593765","2025-01-10 22:00:42.593765"
