"id","start_id","start_vertex_type","end_id","end_vertex_type","available_since","inserted_at","schema_version"
"1","251","Cookie","10","Payment","2025-01-01 22:27:01.284325","2025-01-01 22:27:01.284325","1"
"2","1045","Cookie","4967","Payment","2025-01-02 09:39:38.392602","2025-01-02 09:39:38.392602","1"
"3","351","Cookie","6635","Payment","2025-01-09 13:35:43.667663","2025-01-09 13:35:43.667663","1"
"4","714","Cookie","6532","Payment","2025-01-19 23:54:52.656538","2025-01-19 23:54:52.656538","1"
"5","1395","Cookie","413","Payment","2025-01-14 11:39:17.217810","2025-01-14 11:39:17.217810","1"
"6","1036","Cookie","5008","Payment","2025-01-09 07:42:22.212249","2025-01-09 07:42:22.212249","1"
"7","1889","Cookie","5921","Payment","2025-01-05 03:28:24.690342","2025-01-05 03:28:24.690342","1"
"8","1605","Cookie","1586","Payment","2025-01-12 19:28:50.336093","2025-01-12 19:28:50.336093","1"
"9","2233","Cookie","6654","Payment","2025-01-13 14:36:21.614984","2025-01-13 14:36:21.614984","1"
"10","244","Cookie","4222","Payment","2025-01-04 20:43:25.927163","2025-01-04 20:43:25.927163","1"
"11","108","Cookie","3671","Payment","2025-01-22 15:46:15.759541","2025-01-22 15:46:15.759541","1"
"12","1410","Cookie","3884","Payment","2025-01-18 17:26:10.545313","2025-01-18 17:26:10.545313","1"
"13","1850","Cookie","875","Payment","2025-01-05 18:10:06.908408","2025-01-05 18:10:06.908408","1"
"14","983","Cookie","4881","Payment","2025-01-11 15:39:59.230261","2025-01-11 15:39:59.230261","1"
"15","301","Cookie","492","Payment","2025-01-16 23:50:54.563149","2025-01-16 23:50:54.563149","1"
"16","171","Cookie","2221","Payment","2025-01-19 16:30:45.661734","2025-01-19 16:30:45.661734","1"
"17","1430","Cookie","4079","Payment","2025-01-08 01:50:54.970483","2025-01-08 01:50:54.970483","1"
"18","1279","Cookie","6094","Payment","2025-01-15 06:52:36.581220","2025-01-15 06:52:36.581220","1"
"19","2180","Cookie","3246","Payment","2025-01-10 15:34:58.074569","2025-01-10 15:34:58.074569","1"
"20","1918","Cookie","6582","Payment","2025-01-21 21:39:47.624586","2025-01-21 21:39:47.624586","1"
