"id","start_id","start_vertex_type","end_id","end_vertex_type","available_since","inserted_at","schema_version"
"1","592","CreditCard","1252","Payment","2025-01-17 19:03:49.372280","2025-01-17 19:03:49.372280","1"
"2","353","CreditCard","6369","Payment","2025-01-02 12:14:50.556809","2025-01-02 12:14:50.556809","1"
"3","815","CreditCard","3581","Payment","2025-01-06 02:18:22.648581","2025-01-06 02:18:22.648581","1"
"4","1187","CreditCard","5420","Payment","2025-01-12 12:09:19.853148","2025-01-12 12:09:19.853148","1"
"5","863","CreditCard","3657","Payment","2025-01-10 16:56:01.874645","2025-01-10 16:56:01.874645","1"
"6","812","CreditCard","1267","Payment","2025-01-06 09:43:12.254871","2025-01-06 09:43:12.254871","1"
"7","206","CreditCard","4586","Payment","2025-01-07 14:23:11.833964","2025-01-07 14:23:11.833964","1"
"8","1015","CreditCard","173","Payment","2025-01-13 07:50:05.656158","2025-01-13 07:50:05.656158","1"
"9","1153","CreditCard","4983","Payment","2025-01-16 13:48:41.430684","2025-01-16 13:48:41.430684","1"
"10","43","CreditCard","6034","Payment","2025-01-03 19:03:24.534075","2025-01-03 19:03:24.534075","1"
"11","863","CreditCard","5648","Payment","2025-01-08 19:18:44.583575","2025-01-08 19:18:44.583575","1"
"12","1128","CreditCard","621","Payment","2025-01-23 05:03:25.830345","2025-01-23 05:03:25.830345","1"
"13","337","CreditCard","2881","Payment","2025-01-19 17:06:13.297679","2025-01-19 17:06:13.297679","1"
"14","584","CreditCard","2680","Payment","2025-01-11 16:42:44.439172","2025-01-11 16:42:44.439172","1"
"15","493","CreditCard","3179","Payment","2025-01-10 08:04:48.325486","2025-01-10 08:04:48.325486","1"
"16","973","CreditCard","3011","Payment","2025-01-17 03:19:38.411297","2025-01-17 03:19:38.411297","1"
"17","590","CreditCard","5749","Payment","2025-01-15 10:33:45.080199","2025-01-15 10:33:45.080199","1"
"18","1067","CreditCard","5761","Payment","2025-01-07 06:53:35.846973","2025-01-07 06:53:35.846973","1"
"19","847","CreditCard","6999","Payment","2025-01-09 06:30:14.647134","2025-01-09 06:30:14.647134","1"
"20","133","CreditCard","2942","Payment","2025-01-16 18:40:33.068355","2025-01-16 18:40:33.068355","1"
"21","346","CreditCard","1057","Payment","2025-01-05 16:24:10.798713","2025-01-05 16:24:10.798713","1"
"22","1085","CreditCard","1680","Payment","2025-01-19 19:02:35.116658","2025-01-19 19:02:35.116658","1"
"23","42","CreditCard","1823","Payment","2025-01-21 04:22:25.066472","2025-01-21 04:22:25.066472","1"
"24","170","CreditCard","3931","Payment","2025-01-11 02:51:49.208428","2025-01-11 02:51:49.208428","1"
"25","193","CreditCard","2504","Payment","2025-01-21 19:26:35.919636","2025-01-21 19:26:35.919636","1"
"26","815","CreditCard","3443","Payment","2025-01-05 04:05:15.505496","2025-01-05 04:05:15.505496","1"
"27","1123","CreditCard","2710","Payment","2025-01-20 15:46:57.220012","2025-01-20 15:46:57.220012","1"
"28","1162","CreditCard","2706","Payment","2025-01-07 23:14:22.253807","2025-01-07 23:14:22.253807","1"
"29","78","CreditCard","6758","Payment","2025-01-21 14:53:58.445783","2025-01-21 14:53:58.445783","1"
"30","149","CreditCard","2062","Payment","2025-01-18 08:12:22.491425","2025-01-18 08:12:22.491425","1"
"31","6","CreditCard","4114","Payment","2025-01-13 07:05:59.850624","2025-01-13 07:05:59.850624","1"
"32","578","CreditCard","2347","Payment","2025-01-14 00:43:04.309894","2025-01-14 00:43:04.309894","1"
"33","1027","CreditCard","3829","Payment","2025-01-10 23:55:22.768802","2025-01-10 23:55:22.768802","1"
"34","859","CreditCard","4722","Payment","2025-01-14 11:38:42.024470","2025-01-14 11:38:42.024470","1"
"35","875","CreditCard","4448","Payment","2025-01-18 07:37:12.604804","2025-01-18 07:37:12.604804","1"
"36","801","CreditCard","6393","Payment","2025-01-17 23:09:50.575384","2025-01-17 23:09:50.575384","1"
"37","505","CreditCard","553","Payment","2025-01-16 11:26:53.362421","2025-01-16 11:26:53.362421","1"
"38","714","CreditCard","2227","Payment","2025-01-16 19:15:45.888934","2025-01-16 19:15:45.888934","1"
"39","218","CreditCard","1226","Payment","2025-01-12 19:28:47.758858","2025-01-12 19:28:47.758858","1"
"40","814","CreditCard","5018","Payment","2025-01-07 11:03:54.868625","2025-01-07 11:03:54.868625","1"
"41","227","CreditCard","5067","Payment","2025-01-21 20:54:18.269455","2025-01-21 20:54:18.269455","1"
"42","804","CreditCard","5840","Payment","2025-01-19 06:06:54.238649","2025-01-19 06:06:54.238649","1"
"43","734","CreditCard","4029","Payment","2025-01-04 21:05:52.886157","2025-01-04 21:05:52.886157","1"
"44","329","CreditCard","4874","Payment","2025-01-14 06:01:23.735126","2025-01-14 06:01:23.735126","1"
"45","573","CreditCard","1771","Payment","2025-01-21 01:44:20.640439","2025-01-21 01:44:20.640439","1"
"46","929","CreditCard","2381","Payment","2025-01-12 23:09:33.223804","2025-01-12 23:09:33.223804","1"
"47","172","CreditCard","2708","Payment","2025-01-01 21:23:16.908772","2025-01-01 21:23:16.908772","1"
"48","412","CreditCard","3150","Payment","2025-01-14 16:52:54.032593","2025-01-14 16:52:54.032593","1"
"49","493","CreditCard","4903","Payment","2025-01-17 01:52:29.465152","2025-01-17 01:52:29.465152","1"
"50","1096","CreditCard","2758","Payment","2025-01-02 09:10:05.631231","2025-01-02 09:10:05.631231","1"
"51","528","CreditCard","4808","Payment","2025-01-17 00:03:42.372036","2025-01-17 00:03:42.372036","1"
"52","1172","CreditCard","608","Payment","2025-01-21 08:13:03.677289","2025-01-21 08:13:03.677289","1"
"53","310","CreditCard","4576","Payment","2025-01-19 17:31:52.684631","2025-01-19 17:31:52.684631","1"
"54","864","CreditCard","1324","Payment","2025-01-13 17:51:32.056010","2025-01-13 17:51:32.056010","1"
"55","723","CreditCard","666","Payment","2025-01-01 11:44:56.035988","2025-01-01 11:44:56.035988","1"
"56","1198","CreditCard","5768","Payment","2025-01-19 20:59:19.397556","2025-01-19 20:59:19.397556","1"
"57","1184","CreditCard","6624","Payment","2025-01-01 08:33:32.681839","2025-01-01 08:33:32.681839","1"
"58","197","CreditCard","3162","Payment","2025-01-03 12:35:37.205143","2025-01-03 12:35:37.205143","1"
"59","669","CreditCard","6525","Payment","2025-01-09 20:14:44.773083","2025-01-09 20:14:44.773083","1"
"60","1171","CreditCard","1442","Payment","2025-01-13 05:48:26.178953","2025-01-13 05:48:26.178953","1"
