"id","start_id","start_vertex_type","end_id","end_vertex_type","available_since","inserted_at"
"1","211","Cookie","6806","Payment","2025-01-15 18:16:30.558804","2025-01-15 18:16:30.558804"
"2","900","Cookie","4174","Payment","2025-01-03 04:26:16.651747","2025-01-03 04:26:16.651747"
"3","1002","Cookie","5877","Payment","2025-01-15 00:25:23.377948","2025-01-15 00:25:23.377948"
"4","215","Cookie","2852","Payment","2025-01-05 15:35:52.251420","2025-01-05 15:35:52.251420"
"5","1298","Cookie","6165","Payment","2025-01-22 02:02:57.897851","2025-01-22 02:02:57.897851"
"6","748","Cookie","2026","Payment","2025-01-21 23:54:48.083312","2025-01-21 23:54:48.083312"
"7","782","Cookie","936","Payment","2025-01-15 06:43:18.026552","2025-01-15 06:43:18.026552"
"8","2224","Cookie","4739","Payment","2025-01-07 13:39:41.540514","2025-01-07 13:39:41.540514"
"9","1709","Cookie","2590","Payment","2025-01-22 15:02:04.943712","2025-01-22 15:02:04.943712"
"10","1745","Cookie","572","Payment","2025-01-01 12:49:12.253479","2025-01-01 12:49:12.253479"
"11","1128","Cookie","1490","Payment","2025-01-14 11:28:52.020200","2025-01-14 11:28:52.020200"
"12","264","Cookie","5094","Payment","2025-01-03 02:45:59.049517","2025-01-03 02:45:59.049517"
"13","169","Cookie","5877","Payment","2025-01-13 18:44:47.072254","2025-01-13 18:44:47.072254"
"14","400","Cookie","325","Payment","2025-01-15 17:08:53.857584","2025-01-15 17:08:53.857584"
"15","540","Cookie","4079","Payment","2025-01-03 06:15:30.059452","2025-01-03 06:15:30.059452"
"16","109","Cookie","4544","Payment","2025-01-16 12:23:19.202740","2025-01-16 12:23:19.202740"
"17","722","Cookie","3716","Payment","2025-01-08 20:09:06.190454","2025-01-08 20:09:06.190454"
"18","1101","Cookie","5848","Payment","2025-01-20 11:56:34.180689","2025-01-20 11:56:34.180689"
"19","460","Cookie","2269","Payment","2025-01-02 09:35:49.012067","2025-01-02 09:35:49.012067"
"20","1659","Cookie","779","Payment","2025-01-11 02:18:05.687459","2025-01-11 02:18:05.687459"
"21","1608","Cookie","2028","Payment","2025-01-20 08:10:52.866069","2025-01-20 08:10:52.866069"
"22","877","Cookie","6621","Payment","2025-01-16 17:52:41.330651","2025-01-16 17:52:41.330651"
"23","1125","Cookie","1889","Payment","2025-01-20 09:59:50.559636","2025-01-20 09:59:50.559636"
"24","309","Cookie","2142","Payment","2025-01-07 19:10:11.542381","2025-01-07 19:10:11.542381"
"25","1645","Cookie","4795","Payment","2025-01-03 09:40:14.126419","2025-01-03 09:40:14.126419"
"26","1163","Cookie","304","Payment","2025-01-06 08:01:24.235728","2025-01-06 08:01:24.235728"
"27","517","Cookie","6235","Payment","2025-01-07 02:21:57.728481","2025-01-07 02:21:57.728481"
"28","390","Cookie","2380","Payment","2025-01-22 13:14:54.569497","2025-01-22 13:14:54.569497"
"29","1482","Cookie","1911","Payment","2025-01-03 05:28:24.758076","2025-01-03 05:28:24.758076"
"30","2688","Cookie","1675","Payment","2025-01-09 07:42:11.742548","2025-01-09 07:42:11.742548"
"31","2410","Cookie","257","Payment","2025-01-11 22:12:48.350025","2025-01-11 22:12:48.350025"
"32","1191","Cookie","2258","Payment","2025-01-08 14:02:39.842307","2025-01-08 14:02:39.842307"
"33","1111","Cookie","955","Payment","2025-01-07 06:25:29.768639","2025-01-07 06:25:29.768639"
"34","1466","Cookie","396","Payment","2025-01-19 04:38:11.543230","2025-01-19 04:38:11.543230"
"35","1888","Cookie","3024","Payment","2025-01-16 21:52:33.883395","2025-01-16 21:52:33.883395"
"36","235","Cookie","4767","Payment","2025-01-16 15:07:43.282176","2025-01-16 15:07:43.282176"
"37","788","Cookie","5828","Payment","2025-01-11 16:00:56.879821","2025-01-11 16:00:56.879821"
"38","2220","Cookie","1428","Payment","2025-01-03 08:16:01.815491","2025-01-03 08:16:01.815491"
"39","2534","Cookie","1123","Payment","2025-01-10 02:16:13.900519","2025-01-10 02:16:13.900519"
"40","2591","Cookie","3229","Payment","2025-01-15 11:41:11.588007","2025-01-15 11:41:11.588007"
"41","2099","Cookie","4344","Payment","2025-01-13 04:30:55.824708","2025-01-13 04:30:55.824708"
"42","1538","Cookie","2416","Payment","2025-01-06 19:08:10.505223","2025-01-06 19:08:10.505223"
"43","1056","Cookie","761","Payment","2025-01-19 20:44:50.245327","2025-01-19 20:44:50.245327"
"44","2091","Cookie","3639","Payment","2025-01-12 12:07:38.491699","2025-01-12 12:07:38.491699"
"45","772","Cookie","6732","Payment","2025-01-05 16:54:58.929904","2025-01-05 16:54:58.929904"
"46","1128","Cookie","1789","Payment","2025-01-04 01:30:13.854897","2025-01-04 01:30:13.854897"
"47","61","Cookie","1203","Payment","2025-01-15 19:52:12.742217","2025-01-15 19:52:12.742217"
"48","1350","Cookie","6221","Payment","2025-01-17 23:16:02.410085","2025-01-17 23:16:02.410085"
"49","902","Cookie","1216","Payment","2025-01-18 03:08:26.928428","2025-01-18 03:08:26.928428"
"50","411","Cookie","6604","Payment","2025-01-01 21:48:31.091464","2025-01-01 21:48:31.091464"
"51","726","Cookie","1693","Payment","2025-01-22 04:26:08.378144","2025-01-22 04:26:08.378144"
"52","1720","Cookie","455","Payment","2025-01-22 19:34:38.722957","2025-01-22 19:34:38.722957"
"53","2059","Cookie","3199","Payment","2025-01-22 05:51:25.279387","2025-01-22 05:51:25.279387"
"54","555","Cookie","4957","Payment","2025-01-16 19:19:35.908248","2025-01-16 19:19:35.908248"
"55","1975","Cookie","396","Payment","2025-01-15 23:54:44.799200","2025-01-15 23:54:44.799200"
"56","755","Cookie","2040","Payment","2025-01-06 21:42:04.035753","2025-01-06 21:42:04.035753"
"57","1694","Cookie","2272","Payment","2025-01-08 16:48:32.913735","2025-01-08 16:48:32.913735"
"58","196","Cookie","69","Payment","2025-01-05 10:52:52.928908","2025-01-05 10:52:52.928908"
"59","798","Cookie","738","Payment","2025-01-20 09:28:44.221820","2025-01-20 09:28:44.221820"
"60","1370","Cookie","553","Payment","2025-01-05 13:32:08.919073","2025-01-05 13:32:08.919073"
"61","2135","Cookie","5657","Payment","2025-01-20 22:12:37.858164","2025-01-20 22:12:37.858164"
"62","1645","Cookie","3409","Payment","2025-01-13 10:38:23.354793","2025-01-13 10:38:23.354793"
"63","1044","Cookie","5862","Payment","2025-01-02 02:03:20.333058","2025-01-02 02:03:20.333058"
"64","871","Cookie","4932","Payment","2025-01-07 23:36:43.402469","2025-01-07 23:36:43.402469"
"65","2425","Cookie","4146","Payment","2025-01-01 07:35:23.151552","2025-01-01 07:35:23.151552"
"66","1999","Cookie","6391","Payment","2025-01-08 05:07:09.696026","2025-01-08 05:07:09.696026"
"67","1130","Cookie","268","Payment","2025-01-02 18:21:57.346926","2025-01-02 18:21:57.346926"
"68","2271","Cookie","6475","Payment","2025-01-11 21:29:32.769881","2025-01-11 21:29:32.769881"
"69","1401","Cookie","4747","Payment","2025-01-14 03:22:00.208302","2025-01-14 03:22:00.208302"
"70","217","Cookie","5443","Payment","2025-01-06 09:31:41.497435","2025-01-06 09:31:41.497435"
"71","1698","Cookie","6715","Payment","2025-01-08 03:44:56.446167","2025-01-08 03:44:56.446167"
"72","472","Cookie","1173","Payment","2025-01-02 01:28:49.074170","2025-01-02 01:28:49.074170"
"73","926","Cookie","5889","Payment","2025-01-07 02:02:50.357488","2025-01-07 02:02:50.357488"
"74","1265","Cookie","4607","Payment","2025-01-03 22:55:40.691366","2025-01-03 22:55:40.691366"
"75","569","Cookie","6918","Payment","2025-01-17 23:15:22.781634","2025-01-17 23:15:22.781634"
"76","586","Cookie","4913","Payment","2025-01-19 09:56:56.597631","2025-01-19 09:56:56.597631"
"77","293","Cookie","1102","Payment","2025-01-22 02:44:52.361459","2025-01-22 02:44:52.361459"
"78","1692","Cookie","3920","Payment","2025-01-12 15:25:28.514554","2025-01-12 15:25:28.514554"
"79","620","Cookie","5290","Payment","2025-01-10 12:31:43.171448","2025-01-10 12:31:43.171448"
"80","1533","Cookie","6857","Payment","2025-01-08 09:58:17.677512","2025-01-08 09:58:17.677512"
"81","1069","Cookie","1171","Payment","2025-01-07 08:42:36.194886","2025-01-07 08:42:36.194886"
"82","1256","Cookie","6154","Payment","2025-01-03 16:53:12.250195","2025-01-03 16:53:12.250195"
"83","1721","Cookie","1213","Payment","2025-01-02 05:02:12.330711","2025-01-02 05:02:12.330711"
"84","9","Cookie","3541","Payment","2025-01-20 04:33:40.838080","2025-01-20 04:33:40.838080"
"85","85","Cookie","3333","Payment","2025-01-18 15:54:39.250003","2025-01-18 15:54:39.250003"
"86","1992","Cookie","4976","Payment","2025-01-05 13:38:58.348935","2025-01-05 13:38:58.348935"
"87","2185","Cookie","3123","Payment","2025-01-04 11:37:00.622313","2025-01-04 11:37:00.622313"
"88","1246","Cookie","1441","Payment","2025-01-04 01:20:09.179284","2025-01-04 01:20:09.179284"
"89","1159","Cookie","4989","Payment","2025-01-09 04:05:36.989876","2025-01-09 04:05:36.989876"
"90","1708","Cookie","3939","Payment","2025-01-14 14:31:12.225297","2025-01-14 14:31:12.225297"
"91","976","Cookie","6310","Payment","2025-01-15 20:41:18.901798","2025-01-15 20:41:18.901798"
"92","2577","Cookie","3369","Payment","2025-01-19 04:09:01.309581","2025-01-19 04:09:01.309581"
"93","762","Cookie","1331","Payment","2025-01-21 23:40:44.866258","2025-01-21 23:40:44.866258"
"94","193","Cookie","6507","Payment","2025-01-02 01:16:44.372777","2025-01-02 01:16:44.372777"
"95","1662","Cookie","5307","Payment","2025-01-20 16:45:10.683147","2025-01-20 16:45:10.683147"
"96","1901","Cookie","760","Payment","2025-01-05 22:21:09.777777","2025-01-05 22:21:09.777777"
"97","639","Cookie","2743","Payment","2025-01-15 01:55:04.676402","2025-01-15 01:55:04.676402"
"98","1111","Cookie","4266","Payment","2025-01-20 01:57:56.129327","2025-01-20 01:57:56.129327"
"99","2611","Cookie","3101","Payment","2025-01-22 00:13:12.723124","2025-01-22 00:13:12.723124"
"100","217","Cookie","5888","Payment","2025-01-01 11:25:58.272159","2025-01-01 11:25:58.272159"
"101","243","Cookie","6323","Payment","2025-01-01 08:31:01.842551","2025-01-01 08:31:01.842551"
"102","1262","Cookie","5019","Payment","2025-01-13 17:27:50.656822","2025-01-13 17:27:50.656822"
"103","144","Cookie","4407","Payment","2025-01-20 11:22:05.248503","2025-01-20 11:22:05.248503"
"104","1605","Cookie","4133","Payment","2025-01-20 19:41:46.501540","2025-01-20 19:41:46.501540"
"105","422","Cookie","2108","Payment","2025-01-22 03:54:18.726778","2025-01-22 03:54:18.726778"
"106","1197","Cookie","557","Payment","2025-01-06 08:30:15.560416","2025-01-06 08:30:15.560416"
"107","2182","Cookie","1450","Payment","2025-01-01 15:50:11.100035","2025-01-01 15:50:11.100035"
"108","2469","Cookie","3543","Payment","2025-01-08 21:33:10.393613","2025-01-08 21:33:10.393613"
"109","22","Cookie","4189","Payment","2025-01-20 18:03:13.585620","2025-01-20 18:03:13.585620"
"110","2562","Cookie","3905","Payment","2025-01-18 17:14:14.428044","2025-01-18 17:14:14.428044"
"111","1353","Cookie","3948","Payment","2025-01-03 19:04:28.860571","2025-01-03 19:04:28.860571"
"112","421","Cookie","2902","Payment","2025-01-14 22:28:41.443650","2025-01-14 22:28:41.443650"
"113","1983","Cookie","193","Payment","2025-01-05 06:40:47.157893","2025-01-05 06:40:47.157893"
"114","697","Cookie","2659","Payment","2025-01-15 18:10:38.425606","2025-01-15 18:10:38.425606"
"115","774","Cookie","616","Payment","2025-01-16 03:40:41.390772","2025-01-16 03:40:41.390772"
"116","984","Cookie","496","Payment","2025-01-15 12:07:14.552468","2025-01-15 12:07:14.552468"
"117","861","Cookie","1540","Payment","2025-01-12 03:13:02.014549","2025-01-12 03:13:02.014549"
"118","763","Cookie","653","Payment","2025-01-14 00:16:42.515062","2025-01-14 00:16:42.515062"
"119","1203","Cookie","2930","Payment","2025-01-21 00:13:52.412611","2025-01-21 00:13:52.412611"
"120","1144","Cookie","3523","Payment","2025-01-08 17:41:52.780362","2025-01-08 17:41:52.780362"
"121","1875","Cookie","6089","Payment","2025-01-19 04:49:09.829329","2025-01-19 04:49:09.829329"
"122","945","Cookie","164","Payment","2025-01-06 13:35:42.226649","2025-01-06 13:35:42.226649"
"123","1816","Cookie","608","Payment","2025-01-06 18:34:32.591461","2025-01-06 18:34:32.591461"
"124","230","Cookie","5438","Payment","2025-01-10 17:33:01.568438","2025-01-10 17:33:01.568438"
"125","1890","Cookie","3607","Payment","2025-01-10 10:18:35.554900","2025-01-10 10:18:35.554900"
"126","598","Cookie","1925","Payment","2025-01-19 05:43:48.773468","2025-01-19 05:43:48.773468"
