"id","start_id","start_vertex_type","end_id","end_vertex_type","available_since","inserted_at"
"1","1301","CryptoAddress","4443","Payment","2025-01-06 19:57:12.775924","2025-01-06 19:57:12.775924"
"2","859","CryptoAddress","20","Payment","2025-01-20 09:33:34.088575","2025-01-20 09:33:34.088575"
"3","85","CryptoAddress","6899","Payment","2025-01-13 11:56:24.494149","2025-01-13 11:56:24.494149"
"4","1110","CryptoAddress","270","Payment","2025-01-13 11:43:34.829544","2025-01-13 11:43:34.829544"
"5","56","CryptoAddress","5073","Payment","2025-01-20 06:29:53.895343","2025-01-20 06:29:53.895343"
"6","950","CryptoAddress","2428","Payment","2025-01-20 20:08:14.577820","2025-01-20 20:08:14.577820"
"7","1554","CryptoAddress","2244","Payment","2025-01-19 05:04:23.403569","2025-01-19 05:04:23.403569"
"8","1362","CryptoAddress","3857","Payment","2025-01-17 16:43:16.856112","2025-01-17 16:43:16.856112"
"9","1535","CryptoAddress","2515","Payment","2025-01-08 10:49:08.780948","2025-01-08 10:49:08.780948"
"10","1551","CryptoAddress","5851","Payment","2025-01-10 16:02:17.912894","2025-01-10 16:02:17.912894"
"11","743","CryptoAddress","3219","Payment","2025-01-05 23:10:41.826250","2025-01-05 23:10:41.826250"
"12","740","CryptoAddress","1025","Payment","2025-01-15 08:30:00.379670","2025-01-15 08:30:00.379670"
"13","1006","CryptoAddress","881","Payment","2025-01-03 08:01:15.649979","2025-01-03 08:01:15.649979"
"14","817","CryptoAddress","1333","Payment","2025-01-08 15:54:12.790924","2025-01-08 15:54:12.790924"
"15","611","CryptoAddress","3522","Payment","2025-01-08 19:19:25.091869","2025-01-08 19:19:25.091869"
"16","1513","CryptoAddress","676","Payment","2025-01-22 22:44:44.255139","2025-01-22 22:44:44.255139"
"17","693","CryptoAddress","1977","Payment","2025-01-08 01:31:52.073822","2025-01-08 01:31:52.073822"
"18","169","CryptoAddress","4576","Payment","2025-01-02 09:09:48.084598","2025-01-02 09:09:48.084598"
"19","1150","CryptoAddress","4018","Payment","2025-01-02 02:58:38.373269","2025-01-02 02:58:38.373269"
"20","1295","CryptoAddress","5358","Payment","2025-01-16 13:19:22.083442","2025-01-16 13:19:22.083442"
"21","668","CryptoAddress","5244","Payment","2025-01-11 22:36:12.102538","2025-01-11 22:36:12.102538"
"22","656","CryptoAddress","97","Payment","2025-01-15 20:51:12.638361","2025-01-15 20:51:12.638361"
"23","986","CryptoAddress","6209","Payment","2025-01-13 13:39:25.856287","2025-01-13 13:39:25.856287"
"24","670","CryptoAddress","3573","Payment","2025-01-09 16:55:20.668695","2025-01-09 16:55:20.668695"
"25","1137","CryptoAddress","4132","Payment","2025-01-08 18:51:45.998204","2025-01-08 18:51:45.998204"
"26","1199","CryptoAddress","2315","Payment","2025-01-07 22:02:28.893097","2025-01-07 22:02:28.893097"
"27","1009","CryptoAddress","5837","Payment","2025-01-12 20:58:37.593435","2025-01-12 20:58:37.593435"
"28","1409","CryptoAddress","4821","Payment","2025-01-16 17:02:21.445580","2025-01-16 17:02:21.445580"
"29","609","CryptoAddress","3420","Payment","2025-01-17 06:38:30.198018","2025-01-17 06:38:30.198018"
"30","146","CryptoAddress","1412","Payment","2025-01-07 17:45:06.457015","2025-01-07 17:45:06.457015"
"31","1580","CryptoAddress","1716","Payment","2025-01-17 22:08:31.944873","2025-01-17 22:08:31.944873"
"32","92","CryptoAddress","6179","Payment","2025-01-17 00:03:52.945581","2025-01-17 00:03:52.945581"
"33","85","CryptoAddress","5367","Payment","2025-01-03 09:42:48.417844","2025-01-03 09:42:48.417844"
"34","1549","CryptoAddress","1425","Payment","2025-01-22 22:42:31.935072","2025-01-22 22:42:31.935072"
"35","554","CryptoAddress","2626","Payment","2025-01-14 19:28:14.403220","2025-01-14 19:28:14.403220"
"36","425","CryptoAddress","6505","Payment","2025-01-17 21:38:29.393614","2025-01-17 21:38:29.393614"
"37","703","CryptoAddress","4071","Payment","2025-01-16 04:31:49.101413","2025-01-16 04:31:49.101413"
"38","1009","CryptoAddress","3043","Payment","2025-01-17 01:00:18.850003","2025-01-17 01:00:18.850003"
"39","631","CryptoAddress","2786","Payment","2025-01-11 12:20:28.308352","2025-01-11 12:20:28.308352"
"40","767","CryptoAddress","4701","Payment","2025-01-08 02:28:46.962073","2025-01-08 02:28:46.962073"
"41","89","CryptoAddress","6778","Payment","2025-01-18 14:08:39.852198","2025-01-18 14:08:39.852198"
"42","702","CryptoAddress","3845","Payment","2025-01-18 11:51:56.427021","2025-01-18 11:51:56.427021"
"43","1024","CryptoAddress","2158","Payment","2025-01-15 05:27:54.528265","2025-01-15 05:27:54.528265"
"44","347","CryptoAddress","6051","Payment","2025-01-13 19:27:23.599006","2025-01-13 19:27:23.599006"
"45","1462","CryptoAddress","366","Payment","2025-01-12 19:35:57.126660","2025-01-12 19:35:57.126660"
"46","105","CryptoAddress","4870","Payment","2025-01-08 12:09:16.328082","2025-01-08 12:09:16.328082"
"47","418","CryptoAddress","1059","Payment","2025-01-20 17:37:18.665442","2025-01-20 17:37:18.665442"
"48","1002","CryptoAddress","4678","Payment","2025-01-08 02:21:20.906941","2025-01-08 02:21:20.906941"
"49","683","CryptoAddress","4201","Payment","2025-01-08 17:10:54.997821","2025-01-08 17:10:54.997821"
"50","523","CryptoAddress","657","Payment","2025-01-12 18:13:11.384088","2025-01-12 18:13:11.384088"
"51","249","CryptoAddress","3764","Payment","2025-01-22 13:17:58.590182","2025-01-22 13:17:58.590182"
"52","1035","CryptoAddress","2748","Payment","2025-01-02 23:13:41.038533","2025-01-02 23:13:41.038533"
"53","1538","CryptoAddress","2788","Payment","2025-01-20 00:16:45.798802","2025-01-20 00:16:45.798802"
"54","1578","CryptoAddress","1913","Payment","2025-01-04 03:28:01.117021","2025-01-04 03:28:01.117021"
"55","1529","CryptoAddress","5592","Payment","2025-01-08 13:15:45.347929","2025-01-08 13:15:45.347929"
"56","362","CryptoAddress","302","Payment","2025-01-13 09:53:25.107094","2025-01-13 09:53:25.107094"
"57","580","CryptoAddress","1729","Payment","2025-01-18 09:01:29.411839","2025-01-18 09:01:29.411839"
"58","1518","CryptoAddress","5730","Payment","2025-01-09 13:58:34.772171","2025-01-09 13:58:34.772171"
"59","1547","CryptoAddress","1502","Payment","2025-01-07 00:40:45.966549","2025-01-07 00:40:45.966549"
"60","1149","CryptoAddress","4580","Payment","2025-01-05 04:31:46.388140","2025-01-05 04:31:46.388140"
"61","1250","CryptoAddress","2146","Payment","2025-01-21 21:08:06.457702","2025-01-21 21:08:06.457702"
"62","375","CryptoAddress","6610","Payment","2025-01-06 10:09:04.531546","2025-01-06 10:09:04.531546"
"63","154","CryptoAddress","1958","Payment","2025-01-12 22:43:23.717191","2025-01-12 22:43:23.717191"
"64","583","CryptoAddress","3000","Payment","2025-01-17 19:50:43.266471","2025-01-17 19:50:43.266471"
"65","1365","CryptoAddress","1464","Payment","2025-01-22 15:46:33.822299","2025-01-22 15:46:33.822299"
"66","302","CryptoAddress","2039","Payment","2025-01-02 14:08:01.793145","2025-01-02 14:08:01.793145"
"67","643","CryptoAddress","5049","Payment","2025-01-14 02:23:36.447695","2025-01-14 02:23:36.447695"
"68","894","CryptoAddress","4686","Payment","2025-01-20 12:35:10.287279","2025-01-20 12:35:10.287279"
"69","538","CryptoAddress","2504","Payment","2025-01-07 18:29:56.872870","2025-01-07 18:29:56.872870"
"70","1474","CryptoAddress","1636","Payment","2025-01-14 16:03:16.664201","2025-01-14 16:03:16.664201"
"71","285","CryptoAddress","2711","Payment","2025-01-04 03:31:46.554662","2025-01-04 03:31:46.554662"
"72","460","CryptoAddress","5979","Payment","2025-01-17 08:09:12.966648","2025-01-17 08:09:12.966648"
"73","1464","CryptoAddress","2161","Payment","2025-01-10 05:05:07.096397","2025-01-10 05:05:07.096397"
"74","352","CryptoAddress","4458","Payment","2025-01-21 06:33:21.680846","2025-01-21 06:33:21.680846"
"75","830","CryptoAddress","5312","Payment","2025-01-20 04:57:30.359449","2025-01-20 04:57:30.359449"
"76","29","CryptoAddress","1521","Payment","2025-01-21 22:40:30.838188","2025-01-21 22:40:30.838188"
"77","1108","CryptoAddress","2763","Payment","2025-01-11 20:27:00.441462","2025-01-11 20:27:00.441462"
"78","195","CryptoAddress","972","Payment","2025-01-23 10:56:30.704702","2025-01-23 10:56:30.704702"
"79","444","CryptoAddress","5090","Payment","2025-01-19 05:32:34.626979","2025-01-19 05:32:34.626979"
"80","904","CryptoAddress","3092","Payment","2025-01-06 23:10:46.060621","2025-01-06 23:10:46.060621"
"81","626","CryptoAddress","905","Payment","2025-01-03 01:47:12.547781","2025-01-03 01:47:12.547781"
"82","856","CryptoAddress","1748","Payment","2025-01-22 09:07:58.832368","2025-01-22 09:07:58.832368"
"83","346","CryptoAddress","403","Payment","2025-01-13 05:12:29.711330","2025-01-13 05:12:29.711330"
"84","328","CryptoAddress","3029","Payment","2025-01-21 17:21:00.261262","2025-01-21 17:21:00.261262"
"85","348","CryptoAddress","6462","Payment","2025-01-19 05:46:56.398618","2025-01-19 05:46:56.398618"
"86","227","CryptoAddress","2824","Payment","2025-01-12 17:33:19.723354","2025-01-12 17:33:19.723354"
"87","444","CryptoAddress","4603","Payment","2025-01-03 20:34:40.113422","2025-01-03 20:34:40.113422"
"88","1119","CryptoAddress","5346","Payment","2025-01-05 10:09:35.687770","2025-01-05 10:09:35.687770"
"89","868","CryptoAddress","2724","Payment","2025-01-14 08:09:32.684756","2025-01-14 08:09:32.684756"
"90","190","CryptoAddress","6508","Payment","2025-01-10 14:04:18.868661","2025-01-10 14:04:18.868661"
"91","700","CryptoAddress","4118","Payment","2025-01-04 02:33:40.389181","2025-01-04 02:33:40.389181"
"92","1178","CryptoAddress","943","Payment","2025-01-03 21:42:17.801814","2025-01-03 21:42:17.801814"
"93","534","CryptoAddress","1041","Payment","2025-01-14 12:55:55.242947","2025-01-14 12:55:55.242947"
