"id","start_id","start_vertex_type","end_id","end_vertex_type","available_since","inserted_at","schema_version"
"1","1848","Cookie","5455","Payment","2025-01-07 12:07:30.653904","2025-01-07 12:07:30.653904","1"
"2","264","Cookie","2537","Payment","2025-01-04 07:57:58.187286","2025-01-04 07:57:58.187286","1"
"3","2634","Cookie","1183","Payment","2025-01-20 09:52:14.754008","2025-01-20 09:52:14.754008","1"
"4","600","Cookie","3437","Payment","2025-01-15 02:57:38.866518","2025-01-15 02:57:38.866518","1"
"5","2004","Cookie","2937","Payment","2025-01-19 06:30:03.735568","2025-01-19 06:30:03.735568","1"
"6","2231","Cookie","3413","Payment","2025-01-14 21:05:24.795828","2025-01-14 21:05:24.795828","1"
"7","1036","Cookie","5185","Payment","2025-01-03 00:15:49.149552","2025-01-03 00:15:49.149552","1"
"8","815","Cookie","618","Payment","2025-01-09 18:23:13.185444","2025-01-09 18:23:13.185444","1"
"9","270","Cookie","145","Payment","2025-01-23 10:23:11.975908","2025-01-23 10:23:11.975908","1"
"10","2531","Cookie","4103","Payment","2025-01-15 04:49:14.626805","2025-01-15 04:49:14.626805","1"
"11","2088","Cookie","4135","Payment","2025-01-05 08:46:21.705987","2025-01-05 08:46:21.705987","1"
"12","1286","Cookie","2742","Payment","2025-01-17 04:14:58.831783","2025-01-17 04:14:58.831783","1"
"13","1186","Cookie","3381","Payment","2025-01-09 18:08:46.698383","2025-01-09 18:08:46.698383","1"
"14","2416","Cookie","3084","Payment","2025-01-20 06:35:05.587096","2025-01-20 06:35:05.587096","1"
"15","1121","Cookie","3697","Payment","2025-01-13 09:20:29.506024","2025-01-13 09:20:29.506024","1"
"16","604","Cookie","5259","Payment","2025-01-07 04:29:13.730951","2025-01-07 04:29:13.730951","1"
"17","2561","Cookie","3309","Payment","2025-01-22 21:02:36.500143","2025-01-22 21:02:36.500143","1"
"18","2633","Cookie","874","Payment","2025-01-04 19:32:54.700360","2025-01-04 19:32:54.700360","1"
"19","1664","Cookie","6560","Payment","2025-01-06 02:30:22.336812","2025-01-06 02:30:22.336812","1"
"20","1402","Cookie","4135","Payment","2025-01-15 14:39:41.936133","2025-01-15 14:39:41.936133","1"
"21","2590","Cookie","5232","Payment","2025-01-19 15:32:43.447651","2025-01-19 15:32:43.447651","1"
"22","1249","Cookie","5823","Payment","2025-01-01 00:26:22.288158","2025-01-01 00:26:22.288158","1"
"23","1049","Cookie","421","Payment","2025-01-22 15:00:07.741260","2025-01-22 15:00:07.741260","1"
"24","2240","Cookie","6283","Payment","2025-01-01 09:22:45.356828","2025-01-01 09:22:45.356828","1"
"25","1762","Cookie","3713","Payment","2025-01-01 09:05:36.578754","2025-01-01 09:05:36.578754","1"
"26","1294","Cookie","6274","Payment","2025-01-13 19:50:31.195628","2025-01-13 19:50:31.195628","1"
"27","2346","Cookie","2805","Payment","2025-01-03 23:18:18.576898","2025-01-03 23:18:18.576898","1"
"28","32","Cookie","3897","Payment","2025-01-08 12:08:52.107428","2025-01-08 12:08:52.107428","1"
"29","746","Cookie","1241","Payment","2025-01-17 19:16:38.566064","2025-01-17 19:16:38.566064","1"
"30","1260","Cookie","6947","Payment","2025-01-20 08:10:56.027114","2025-01-20 08:10:56.027114","1"
"31","2297","Cookie","1945","Payment","2025-01-01 05:33:14.938601","2025-01-01 05:33:14.938601","1"
"32","805","Cookie","4581","Payment","2025-01-07 22:52:28.282429","2025-01-07 22:52:28.282429","1"
"33","442","Cookie","1806","Payment","2025-01-17 22:36:17.524843","2025-01-17 22:36:17.524843","1"
"34","2097","Cookie","980","Payment","2025-01-16 16:16:50.416883","2025-01-16 16:16:50.416883","1"
"35","847","Cookie","1002","Payment","2025-01-01 07:31:07.620694","2025-01-01 07:31:07.620694","1"
"36","1982","Cookie","6279","Payment","2025-01-10 06:31:41.354060","2025-01-10 06:31:41.354060","1"
"37","787","Cookie","6018","Payment","2025-01-08 22:27:10.685832","2025-01-08 22:27:10.685832","1"
"38","1745","Cookie","88","Payment","2025-01-17 03:42:45.851239","2025-01-17 03:42:45.851239","1"
"39","2632","Cookie","997","Payment","2025-01-09 10:41:53.792560","2025-01-09 10:41:53.792560","1"
"40","464","Cookie","1582","Payment","2025-01-19 06:05:57.665631","2025-01-19 06:05:57.665631","1"
"41","2137","Cookie","2451","Payment","2025-01-11 08:29:47.338763","2025-01-11 08:29:47.338763","1"
"42","682","Cookie","4734","Payment","2025-01-04 20:15:05.029888","2025-01-04 20:15:05.029888","1"
"43","2588","Cookie","4527","Payment","2025-01-11 13:17:28.955044","2025-01-11 13:17:28.955044","1"
"44","2051","Cookie","4774","Payment","2025-01-14 16:55:00.309267","2025-01-14 16:55:00.309267","1"
"45","385","Cookie","415","Payment","2025-01-05 02:09:10.352259","2025-01-05 02:09:10.352259","1"
"46","1180","Cookie","3361","Payment","2025-01-13 23:25:17.478886","2025-01-13 23:25:17.478886","1"
