"id","start_id","start_vertex_type","end_id","end_vertex_type","available_since","inserted_at","schema_version"
"1","100","CreditCard","1484","Payment","2025-01-04 13:56:45.943152","2025-01-04 13:56:45.943152","1"
"2","737","CreditCard","5702","Payment","2025-01-20 04:16:25.467674","2025-01-20 04:16:25.467674","1"
"3","497","CreditCard","6260","Payment","2025-01-02 18:26:44.513430","2025-01-02 18:26:44.513430","1"
"4","351","CreditCard","5536","Payment","2025-01-01 16:29:50.344715","2025-01-01 16:29:50.344715","1"
"5","571","CreditCard","1777","Payment","2025-01-14 09:54:37.763866","2025-01-14 09:54:37.763866","1"
"6","207","CreditCard","2308","Payment","2025-01-16 17:17:39.309252","2025-01-16 17:17:39.309252","1"
"7","593","CreditCard","991","Payment","2025-01-23 05:51:35.344822","2025-01-23 05:51:35.344822","1"
"8","181","CreditCard","2918","Payment","2025-01-03 12:04:20.529164","2025-01-03 12:04:20.529164","1"
"9","1175","CreditCard","780","Payment","2025-01-09 06:39:26.126081","2025-01-09 06:39:26.126081","1"
"10","224","CreditCard","165","Payment","2025-01-12 02:47:49.617288","2025-01-12 02:47:49.617288","1"
"11","1154","CreditCard","2147","Payment","2025-01-20 01:27:59.765854","2025-01-20 01:27:59.765854","1"
"12","498","CreditCard","273","Payment","2025-01-10 20:15:31.709274","2025-01-10 20:15:31.709274","1"
"13","122","CreditCard","91","Payment","2025-01-18 09:48:18.027391","2025-01-18 09:48:18.027391","1"
"14","949","CreditCard","707","Payment","2025-01-03 20:52:16.744233","2025-01-03 20:52:16.744233","1"
"15","1139","CreditCard","6988","Payment","2025-01-19 15:16:07.207759","2025-01-19 15:16:07.207759","1"
"16","772","CreditCard","4315","Payment","2025-01-19 05:19:49.260929","2025-01-19 05:19:49.260929","1"
"17","816","CreditCard","6547","Payment","2025-01-22 01:01:51.721330","2025-01-22 01:01:51.721330","1"
"18","1182","CreditCard","5119","Payment","2025-01-15 15:17:59.943305","2025-01-15 15:17:59.943305","1"
"19","886","CreditCard","4745","Payment","2025-01-18 16:34:42.205815","2025-01-18 16:34:42.205815","1"
"20","985","CreditCard","6493","Payment","2025-01-03 16:47:38.043011","2025-01-03 16:47:38.043011","1"
"21","402","CreditCard","2519","Payment","2025-01-01 18:26:49.058505","2025-01-01 18:26:49.058505","1"
"22","118","CreditCard","1973","Payment","2025-01-18 08:05:02.786409","2025-01-18 08:05:02.786409","1"
"23","498","CreditCard","4862","Payment","2025-01-03 15:44:06.871838","2025-01-03 15:44:06.871838","1"
"24","934","CreditCard","6538","Payment","2025-01-09 12:58:04.200651","2025-01-09 12:58:04.200651","1"
"25","952","CreditCard","5184","Payment","2025-01-01 08:53:14.011505","2025-01-01 08:53:14.011505","1"
"26","951","CreditCard","4148","Payment","2025-01-20 13:21:59.259775","2025-01-20 13:21:59.259775","1"
"27","496","CreditCard","3976","Payment","2025-01-14 01:34:10.332040","2025-01-14 01:34:10.332040","1"
"28","492","CreditCard","6249","Payment","2025-01-11 13:34:57.453574","2025-01-11 13:34:57.453574","1"
"29","51","CreditCard","3182","Payment","2025-01-14 13:39:49.015622","2025-01-14 13:39:49.015622","1"
"30","514","CreditCard","3576","Payment","2025-01-10 17:03:54.940042","2025-01-10 17:03:54.940042","1"
"31","860","CreditCard","6466","Payment","2025-01-07 01:22:14.518241","2025-01-07 01:22:14.518241","1"
"32","1117","CreditCard","5108","Payment","2025-01-14 23:37:14.651729","2025-01-14 23:37:14.651729","1"
"33","1014","CreditCard","1961","Payment","2025-01-11 13:03:01.468131","2025-01-11 13:03:01.468131","1"
"34","500","CreditCard","3197","Payment","2025-01-02 12:34:18.553714","2025-01-02 12:34:18.553714","1"
"35","606","CreditCard","2637","Payment","2025-01-07 03:34:22.470295","2025-01-07 03:34:22.470295","1"
"36","761","CreditCard","2558","Payment","2025-01-10 05:59:54.011738","2025-01-10 05:59:54.011738","1"
"37","792","CreditCard","3561","Payment","2025-01-13 13:55:48.426532","2025-01-13 13:55:48.426532","1"
"38","221","CreditCard","1417","Payment","2025-01-20 22:22:51.445368","2025-01-20 22:22:51.445368","1"
"39","368","CreditCard","2435","Payment","2025-01-20 08:05:01.472364","2025-01-20 08:05:01.472364","1"
"40","925","CreditCard","3970","Payment","2025-01-15 14:44:06.763513","2025-01-15 14:44:06.763513","1"
"41","1191","CreditCard","3236","Payment","2025-01-21 05:29:16.350113","2025-01-21 05:29:16.350113","1"
"42","214","CreditCard","3704","Payment","2025-01-04 02:17:39.850073","2025-01-04 02:17:39.850073","1"
"43","527","CreditCard","1053","Payment","2025-01-17 19:48:17.489872","2025-01-17 19:48:17.489872","1"
"44","1108","CreditCard","5064","Payment","2025-01-13 16:07:38.321015","2025-01-13 16:07:38.321015","1"
"45","785","CreditCard","1307","Payment","2025-01-01 07:01:32.295265","2025-01-01 07:01:32.295265","1"
"46","884","CreditCard","5521","Payment","2025-01-16 16:48:02.685852","2025-01-16 16:48:02.685852","1"
"47","701","CreditCard","5618","Payment","2025-01-18 00:23:53.480667","2025-01-18 00:23:53.480667","1"
"48","612","CreditCard","6693","Payment","2025-01-07 21:24:51.344829","2025-01-07 21:24:51.344829","1"
"49","111","CreditCard","1690","Payment","2025-01-04 19:46:48.142969","2025-01-04 19:46:48.142969","1"
