"id","start_id","start_vertex_type","end_id","end_vertex_type","available_since","inserted_at","schema_version"
"1","247","CryptoAddress","156","Payment","2025-01-16 11:17:27.864001","2025-01-16 11:17:27.864001","1"
"2","1223","CryptoAddress","1633","Payment","2025-01-13 07:28:20.617053","2025-01-13 07:28:20.617053","1"
"3","1098","CryptoAddress","5170","Payment","2025-01-03 22:26:29.866258","2025-01-03 22:26:29.866258","1"
"4","693","CryptoAddress","1803","Payment","2025-01-09 17:54:11.680500","2025-01-09 17:54:11.680500","1"
"5","1146","CryptoAddress","958","Payment","2025-01-02 23:30:04.368629","2025-01-02 23:30:04.368629","1"
"6","848","CryptoAddress","5468","Payment","2025-01-13 22:03:12.651815","2025-01-13 22:03:12.651815","1"
"7","828","CryptoAddress","417","Payment","2025-01-10 22:36:55.288764","2025-01-10 22:36:55.288764","1"
"8","1115","CryptoAddress","1295","Payment","2025-01-18 08:22:45.499054","2025-01-18 08:22:45.499054","1"
"9","714","CryptoAddress","747","Payment","2025-01-11 03:20:32.250443","2025-01-11 03:20:32.250443","1"
"10","122","CryptoAddress","777","Payment","2025-01-06 12:49:53.222239","2025-01-06 12:49:53.222239","1"
"11","871","CryptoAddress","1940","Payment","2025-01-21 02:04:18.850127","2025-01-21 02:04:18.850127","1"
"12","1341","CryptoAddress","2816","Payment","2025-01-05 19:42:09.537806","2025-01-05 19:42:09.537806","1"
"13","261","CryptoAddress","4026","Payment","2025-01-16 13:28:09.614205","2025-01-16 13:28:09.614205","1"
"14","21","CryptoAddress","3751","Payment","2025-01-16 21:47:24.836672","2025-01-16 21:47:24.836672","1"
"15","443","CryptoAddress","1620","Payment","2025-01-19 13:21:32.474706","2025-01-19 13:21:32.474706","1"
"16","401","CryptoAddress","4186","Payment","2025-01-10 18:47:24.049375","2025-01-10 18:47:24.049375","1"
"17","1070","CryptoAddress","5207","Payment","2025-01-21 13:24:54.245056","2025-01-21 13:24:54.245056","1"
"18","86","CryptoAddress","4543","Payment","2025-01-11 23:00:47.301879","2025-01-11 23:00:47.301879","1"
"19","13","CryptoAddress","6668","Payment","2025-01-22 06:50:19.920583","2025-01-22 06:50:19.920583","1"
"20","726","CryptoAddress","3785","Payment","2025-01-13 13:56:22.264039","2025-01-13 13:56:22.264039","1"
"21","1469","CryptoAddress","2717","Payment","2025-01-18 17:57:01.332742","2025-01-18 17:57:01.332742","1"
"22","1339","CryptoAddress","1961","Payment","2025-01-07 11:40:31.914499","2025-01-07 11:40:31.914499","1"
"23","1448","CryptoAddress","3038","Payment","2025-01-20 04:51:12.379305","2025-01-20 04:51:12.379305","1"
"24","835","CryptoAddress","5130","Payment","2025-01-12 17:49:13.469219","2025-01-12 17:49:13.469219","1"
"25","1304","CryptoAddress","3462","Payment","2025-01-01 09:12:01.100690","2025-01-01 09:12:01.100690","1"
"26","693","CryptoAddress","100","Payment","2025-01-01 11:31:50.268783","2025-01-01 11:31:50.268783","1"
"27","646","CryptoAddress","5697","Payment","2025-01-16 16:13:48.822641","2025-01-16 16:13:48.822641","1"
"28","476","CryptoAddress","4621","Payment","2025-01-15 14:57:26.876475","2025-01-15 14:57:26.876475","1"
"29","41","CryptoAddress","4376","Payment","2025-01-13 12:27:16.491165","2025-01-13 12:27:16.491165","1"
"30","375","CryptoAddress","6575","Payment","2025-01-16 16:13:18.205626","2025-01-16 16:13:18.205626","1"
"31","869","CryptoAddress","6642","Payment","2025-01-21 20:20:43.475841","2025-01-21 20:20:43.475841","1"
"32","1513","CryptoAddress","3643","Payment","2025-01-15 23:01:29.689046","2025-01-15 23:01:29.689046","1"
"33","1193","CryptoAddress","2138","Payment","2025-01-01 13:16:30.560368","2025-01-01 13:16:30.560368","1"
"34","870","CryptoAddress","6631","Payment","2025-01-15 19:22:11.080544","2025-01-15 19:22:11.080544","1"
"35","360","CryptoAddress","6680","Payment","2025-01-07 18:39:46.371906","2025-01-07 18:39:46.371906","1"
"36","1461","CryptoAddress","6860","Payment","2025-01-20 21:51:19.404127","2025-01-20 21:51:19.404127","1"
"37","257","CryptoAddress","5944","Payment","2025-01-15 05:21:58.679016","2025-01-15 05:21:58.679016","1"
"38","1036","CryptoAddress","333","Payment","2025-01-04 11:20:37.423924","2025-01-04 11:20:37.423924","1"
"39","181","CryptoAddress","3631","Payment","2025-01-03 16:21:07.373616","2025-01-03 16:21:07.373616","1"
"40","560","CryptoAddress","718","Payment","2025-01-09 20:28:12.686502","2025-01-09 20:28:12.686502","1"
"41","468","CryptoAddress","3738","Payment","2025-01-13 06:45:15.482587","2025-01-13 06:45:15.482587","1"
"42","1370","CryptoAddress","5701","Payment","2025-01-17 01:59:06.505691","2025-01-17 01:59:06.505691","1"
"43","1253","CryptoAddress","6506","Payment","2025-01-05 05:01:11.412020","2025-01-05 05:01:11.412020","1"
