"id","Name","City","Country","IATA","ICAO","Latitude","Longitude","Altitude","Timezone","DST","Tz"
"1","East Annatown Airport","East Annatown","Eritrea","SHZ","XTIK","-2.783983","-100.199060","823","Africa/Luanda","E","Europe/Skopje"
"2","Port Laura Airport","Port Laura","Montenegro","TQY","WDLC","4.331082","-72.411319","121","Asia/Dhaka","Z","Africa/Kigali"
"3","Port Cynthiaport Airport","Port Cynthiaport","Anguilla","DEH","IQXE","68.681342","-28.362509","108","Asia/Rangoon","O","Indian/Antananarivo"
"4","Batesfort Airport","Batesfort","Equatorial Guinea","KPH","GQEE","-30.4398715","163.168925","386","Africa/Freetown","U","Asia/Dubai"
"5","Barnesland Airport","Barnesland","Suriname","PUJ","QRQE","-0.506842","45.412170","524","Europe/Monaco","U","America/Guatemala"
"6","Wilsonmouth Airport","Wilsonmouth","Brunei Darussalam","PDV","MYPN","-66.420501","-114.005606","133","Africa/Lagos","A","Asia/Thimphu"
"7","Bennettland Airport","Bennettland","Maldives","PMA","HFJR","-39.235545","154.508150","145","Europe/Budapest","S","America/Nassau"
"8","East Robert Airport","East Robert","Nicaragua","PMZ","PRSQ","-85.472608","148.144498","575","Indian/Antananarivo","U","Asia/Nicosia"
"9","Manuelbury Airport","Manuelbury","Panama","FEJ","GHFG","-7.2348275","-38.267965","136","Asia/Karachi","N","Pacific/Enderbury"
"10","Lake Melvinview Airport","Lake Melvinview","Mongolia","QGK","MTFX","-19.700612","162.317386","848","Atlantic/Cape_Verde","A","Pacific/Nauru"
"11","Bethshire Airport","Bethshire","Guinea-Bissau","CDD","DAIE","-79.963109","-71.540226","735","America/Havana","S","Pacific/Easter"
"12","Port Jenniferton Airport","Port Jenniferton","Equatorial Guinea","VPA","WRMH","59.4885525","-102.581078","441","Europe/Vienna","O","America/Hermosillo"
"13","Pattonhaven Airport","Pattonhaven","Barbados","CLS","UAYD","-2.9882275","89.169184","839","Africa/Libreville","U","Asia/Dubai"
"14","Danielborough Airport","Danielborough","Wallis and Futuna","GJV","HTYY","31.904070","-78.831916","252","Atlantic/Madeira","S","Africa/Malabo"
"15","North Austin Airport","North Austin","Niger","SCF","NQIO","-18.462065","0.511634","753","Asia/Vientiane","A","Africa/Mbabane"
"16","Fraziershire Airport","Fraziershire","Gambia","XFM","FXFK","-88.114126","-22.190155","272","Africa/Algiers","O","Asia/Hebron"
