"id","Name","Latitude","Longitude"
"1","Michaelmouth","-56.4217435","-44.924586"
"2","Bryantton","-62.714695","-162.083092"
"3","Royview","-72.721467","-33.926544"
"4","New Jonathanfurt","18.281926","-63.675749"
"5","Bakerburgh","33.745138","-65.831014"
"6","Estradaville","43.5180535","-102.861741"
"7","Vanessaburgh","14.542801","-126.446509"
"8","Michellefort","-35.130610","-10.551661"
"9","Paulshire","44.598081","-118.287848"
"10","Lake Jenniferside","-29.512800","175.424864"
"11","West Katherine","88.412995","-161.835979"
"12","West Danielle","-86.9279665","-173.800792"
"13","Marcburgh","-24.8950875","84.289833"
"14","Stevenborough","-88.506054","-81.093732"
"15","Williamstown","-74.248263","-25.391428"
"16","North Amy","-55.8007685","-78.152292"
"17","West Allisonfurt","73.049386","-127.938979"
"18","Masonside","-43.5966255","64.949788"
"19","New Jessica","44.0030065","-77.602304"
"20","Austinland","13.483018","52.556507"
"21","East James","-2.1832825","-89.649822"
"22","Jimmyport","34.927152","-49.437842"
"23","North Amy","66.824413","60.968070"
"24","Ryanside","33.1879725","139.204733"
"25","Port Jessemouth","-47.390347","132.273828"
"26","Brendaport","-10.3402265","100.186217"
"27","West David","-32.4204525","50.570317"
"28","New Walterchester","-7.7458875","-36.080530"
"29","Port Tyrone","81.1692565","176.210594"
"30","South Vincentmouth","4.770364","82.635299"
"31","Lopezborough","22.025008","15.813440"
"32","Pearsonchester","-81.324575","164.410461"
"33","West Mary","18.017114","-60.722907"
"34","Lake Nathan","78.4600155","-148.534471"
"35","South Susanstad","32.3779395","2.125266"
"36","Darrellland","66.2721435","-165.395936"
"37","New Laura","-53.8052875","-166.156028"
"38","Mcclainmouth","89.763100","29.840208"
"39","Collinsmouth","13.5807005","-10.939696"
"40","East Shelley","-60.572294","74.859522"
"41","North Meghanmouth","-70.217318","-155.140943"
"42","South Mariabury","3.521961","-131.415597"
"43","East Jessicaside","15.3003265","135.485619"
"44","North Garyfort","12.921421","80.794490"
"45","Payneberg","73.7205285","116.659618"
"46","Port Christopher","-22.9750115","148.316458"
"47","Lake Ethan","82.5673725","137.254034"
"48","Port Tammy","-51.319221","-69.239682"
"49","Lake Anthonyport","-49.812604","-1.666151"
"50","West Roseborough","73.5965465","-116.797161"
"51","Nicholasbury","-73.486536","26.115366"
"52","North Josefurt","34.7911165","-120.771198"
"53","New David","88.152476","133.538918"
"54","Barrybury","45.737499","73.025262"
"55","West Dana","11.785279","-16.707971"
"56","Katiehaven","41.2259265","-155.620443"
"57","Stevenshaven","23.5703605","65.608170"
"58","Kyleland","-88.4989565","-162.322849"
"59","Jonathanland","-39.185597","140.035877"
"60","Scottborough","0.4954695","168.881698"
"61","Ashleymouth","27.082123","-148.314768"
"62","New Timothy","21.3825955","27.818278"
