"id","available_since","inserted_at","payment_id","schema_version"
"1","2025-01-06 06:03:20.048255","2025-01-06 06:03:20.048255","8dd082fa-cb55-450c-aee4-04893a282f41","1"
"2","2025-01-13 20:41:58.478938","2025-01-13 20:41:58.478938","ec490576-65ca-414f-9914-929ba1ffe26f","1"
"3","2025-01-19 07:58:39.699038","2025-01-19 07:58:39.699038","124659b6-0d7c-4de1-bba8-6de9f1dfee3c","1"
"4","2025-01-10 00:33:53.890556","2025-01-10 00:33:53.890556","6a455a45-a156-44e4-8f01-0750a8f2a9ca","1"
"5","2025-01-12 04:04:07.778853","2025-01-12 04:04:07.778853","c34d3924-73ec-452d-a597-ffad0cc58ff2","1"
"6","2025-01-12 00:36:53.401370","2025-01-12 00:36:53.401370","60cb0ae9-95a2-4946-8985-c73d897832cb","1"
"7","2025-01-15 13:47:05.435416","2025-01-15 13:47:05.435416","4d335d9f-c53f-408e-8f81-b9a8d35e235c","1"
"8","2025-01-07 07:54:59.951932","2025-01-07 07:54:59.951932","b61db9ac-79d1-4dbf-85d6-a13b3ca48b02","1"
"9","2025-01-12 11:40:08.094133","2025-01-12 11:40:08.094133","842eb711-e7b8-42e7-9a03-b44ba8f11120","1"
"10","2025-01-06 17:50:41.922333","2025-01-06 17:50:41.922333","a9ffbfb7-e3a6-4cd5-9692-d3ab448668ac","1"
"11","2025-01-16 16:43:22.816002","2025-01-16 16:43:22.816002","f464eb29-b1e8-4e8f-a94f-0c521c9290f3","1"
"12","2025-01-05 11:02:26.765441","2025-01-05 11:02:26.765441","947edef7-9a52-46dc-af8d-203dee8125cf","1"
"13","2025-01-16 07:11:30.352161","2025-01-16 07:11:30.352161","4c8dcb00-f5c6-45fa-ad6e-0f9cccc2cdb2","1"
"14","2025-01-06 20:01:23.696522","2025-01-06 20:01:23.696522","a8c4fa2b-7f03-47f8-a5e5-39d154eb07b7","1"
"15","2025-01-02 09:17:32.578927","2025-01-02 09:17:32.578927","5797ff95-b212-4187-9faa-2e30bffb5726","1"
"16","2025-01-01 01:21:15.138562","2025-01-01 01:21:15.138562","85f5c249-26a8-435a-a93c-3ebb51503601","1"
"17","2025-01-21 04:42:38.502231","2025-01-21 04:42:38.502231","6382edf3-72c5-4171-8790-c6593fadb009","1"
"18","2025-01-15 03:15:18.441781","2025-01-15 03:15:18.441781","cab09ba7-e86d-4cbd-a669-baffc39318d1","1"
"19","2025-01-08 02:59:09.313997","2025-01-08 02:59:09.313997","4b064f16-e4e1-492e-9446-51c4143d03be","1"
"20","2025-01-03 03:34:00.937087","2025-01-03 03:34:00.937087","e670424b-365c-4de5-8667-fa3e6a4d33d8","1"
"21","2025-01-15 15:42:20.870709","2025-01-15 15:42:20.870709","d8d99ce5-e14f-47cf-a896-a240a97d5521","1"
"22","2025-01-10 13:22:39.388589","2025-01-10 13:22:39.388589","51804da8-6649-4cec-a83b-c02e7d95eb11","1"
"23","2025-01-07 13:24:14.712373","2025-01-07 13:24:14.712373","a89ef295-efec-4890-bb69-094b1744ec87","1"
"24","2025-01-10 21:56:46.568709","2025-01-10 21:56:46.568709","4f9434e0-89a9-4c49-b438-6cd6c2292704","1"
"25","2025-01-03 23:32:52.795327","2025-01-03 23:32:52.795327","1f135acd-d70a-47a5-8993-ce2440c55a5a","1"
"26","2025-01-12 22:10:48.869253","2025-01-12 22:10:48.869253","357296d6-5b04-460e-871b-702f20307c7a","1"
"27","2025-01-13 01:55:36.788750","2025-01-13 01:55:36.788750","5f2abe28-57f0-4edb-96ac-d78dd3492a69","1"
"28","2025-01-16 13:40:05.573372","2025-01-16 13:40:05.573372","a919568c-cc00-4131-93ee-ab4ab8f87bd2","1"
"29","2025-01-23 04:21:20.904665","2025-01-23 04:21:20.904665","23498ebc-03a8-46d5-8cd5-e61015d135a7","1"
