"id","start_id","start_vertex_type","end_id","end_vertex_type","available_since","inserted_at"
"1","611","Email","3476","Payment","2025-01-02 12:19:09.211658","2025-01-02 12:19:09.211658"
"2","179","Email","6228","Payment","2025-01-11 21:01:52.695443","2025-01-11 21:01:52.695443"
"3","311","Email","6036","Payment","2025-01-23 10:22:12.583671","2025-01-23 10:22:12.583671"
"4","614","Email","3535","Payment","2025-01-07 20:45:34.529633","2025-01-07 20:45:34.529633"
"5","838","Email","910","Payment","2025-01-13 00:25:17.166251","2025-01-13 00:25:17.166251"
"6","337","Email","6496","Payment","2025-01-18 16:40:55.908712","2025-01-18 16:40:55.908712"
"7","571","Email","5029","Payment","2025-01-20 22:42:41.002551","2025-01-20 22:42:41.002551"
"8","924","Email","6142","Payment","2025-01-05 18:06:52.831971","2025-01-05 18:06:52.831971"
"9","896","Email","6534","Payment","2025-01-06 09:37:17.448674","2025-01-06 09:37:17.448674"
"10","301","Email","2997","Payment","2025-01-15 14:55:22.221822","2025-01-15 14:55:22.221822"
"11","182","Email","5626","Payment","2025-01-03 16:27:04.992055","2025-01-03 16:27:04.992055"
"12","338","Email","3688","Payment","2025-01-04 12:24:14.337756","2025-01-04 12:24:14.337756"
"13","893","Email","428","Payment","2025-01-18 22:58:27.049851","2025-01-18 22:58:27.049851"
"14","559","Email","2995","Payment","2025-01-15 13:39:51.850183","2025-01-15 13:39:51.850183"
"15","419","Email","1789","Payment","2025-01-04 00:30:48.360212","2025-01-04 00:30:48.360212"
"16","716","Email","6490","Payment","2025-01-07 10:58:41.854978","2025-01-07 10:58:41.854978"
"17","867","Email","2651","Payment","2025-01-02 14:15:50.959924","2025-01-02 14:15:50.959924"
"18","286","Email","3934","Payment","2025-01-01 23:14:38.639485","2025-01-01 23:14:38.639485"
"19","567","Email","5846","Payment","2025-01-11 23:18:50.550070","2025-01-11 23:18:50.550070"
"20","928","Email","1704","Payment","2025-01-18 18:32:30.091737","2025-01-18 18:32:30.091737"
"21","494","Email","3103","Payment","2025-01-09 06:28:38.858208","2025-01-09 06:28:38.858208"
"22","62","Email","929","Payment","2025-01-05 16:50:17.976003","2025-01-05 16:50:17.976003"
"23","802","Email","2570","Payment","2025-01-14 20:26:35.694763","2025-01-14 20:26:35.694763"
"24","354","Email","3181","Payment","2025-01-17 18:45:12.310209","2025-01-17 18:45:12.310209"
"25","729","Email","1988","Payment","2025-01-16 08:10:30.428311","2025-01-16 08:10:30.428311"
"26","301","Email","5233","Payment","2025-01-17 18:53:58.246389","2025-01-17 18:53:58.246389"
"27","395","Email","1105","Payment","2025-01-20 09:36:22.969613","2025-01-20 09:36:22.969613"
"28","324","Email","6199","Payment","2025-01-20 08:24:05.730463","2025-01-20 08:24:05.730463"
"29","593","Email","2657","Payment","2025-01-22 05:56:32.740721","2025-01-22 05:56:32.740721"
"30","318","Email","241","Payment","2025-01-14 12:24:08.508170","2025-01-14 12:24:08.508170"
"31","676","Email","3055","Payment","2025-01-04 11:43:45.833373","2025-01-04 11:43:45.833373"
"32","906","Email","2065","Payment","2025-01-02 02:44:50.119791","2025-01-02 02:44:50.119791"
"33","943","Email","1905","Payment","2025-01-22 00:35:48.774875","2025-01-22 00:35:48.774875"
"34","132","Email","1378","Payment","2025-01-12 11:07:23.189966","2025-01-12 11:07:23.189966"
"35","407","Email","2944","Payment","2025-01-07 16:16:17.705233","2025-01-07 16:16:17.705233"
"36","553","Email","1753","Payment","2025-01-12 06:08:51.600551","2025-01-12 06:08:51.600551"
"37","242","Email","3152","Payment","2025-01-13 22:30:45.819711","2025-01-13 22:30:45.819711"
"38","859","Email","5506","Payment","2025-01-12 22:58:16.472772","2025-01-12 22:58:16.472772"
"39","312","Email","5683","Payment","2025-01-05 00:58:22.205442","2025-01-05 00:58:22.205442"
"40","161","Email","4277","Payment","2025-01-07 13:06:11.691698","2025-01-07 13:06:11.691698"
"41","126","Email","5186","Payment","2025-01-13 23:21:46.793492","2025-01-13 23:21:46.793492"
