"id","start_id","start_vertex_type","end_id","end_vertex_type","available_since","inserted_at","schema_version"
"1","126","Email","2294","Payment","2025-01-21 23:11:00.161983","2025-01-21 23:11:00.161983","1"
"2","162","Email","367","Payment","2025-01-17 04:02:43.020857","2025-01-17 04:02:43.020857","1"
"3","649","Email","6964","Payment","2025-01-06 05:26:17.403689","2025-01-06 05:26:17.403689","1"
"4","293","Email","5656","Payment","2025-01-14 17:05:56.204127","2025-01-14 17:05:56.204127","1"
"5","843","Email","4671","Payment","2025-01-20 17:24:29.712450","2025-01-20 17:24:29.712450","1"
"6","380","Email","4701","Payment","2025-01-21 21:29:39.119001","2025-01-21 21:29:39.119001","1"
"7","775","Email","5505","Payment","2025-01-05 00:53:53.503055","2025-01-05 00:53:53.503055","1"
"8","21","Email","3558","Payment","2025-01-02 18:20:31.003131","2025-01-02 18:20:31.003131","1"
"9","752","Email","122","Payment","2025-01-20 01:35:10.209213","2025-01-20 01:35:10.209213","1"
"10","328","Email","1280","Payment","2025-01-06 01:33:12.068230","2025-01-06 01:33:12.068230","1"
"11","394","Email","3824","Payment","2025-01-10 04:29:27.641979","2025-01-10 04:29:27.641979","1"
"12","532","Email","5681","Payment","2025-01-19 09:34:47.232802","2025-01-19 09:34:47.232802","1"
"13","88","Email","3634","Payment","2025-01-10 15:18:16.233218","2025-01-10 15:18:16.233218","1"
"14","47","Email","4872","Payment","2025-01-11 22:15:50.395303","2025-01-11 22:15:50.395303","1"
"15","92","Email","3107","Payment","2025-01-19 17:31:44.393019","2025-01-19 17:31:44.393019","1"
"16","671","Email","2193","Payment","2025-01-12 08:12:28.073654","2025-01-12 08:12:28.073654","1"
"17","922","Email","3255","Payment","2025-01-22 08:54:08.740934","2025-01-22 08:54:08.740934","1"
"18","437","Email","2136","Payment","2025-01-06 12:48:07.305949","2025-01-06 12:48:07.305949","1"
"19","585","Email","2668","Payment","2025-01-03 22:36:43.728544","2025-01-03 22:36:43.728544","1"
"20","16","Email","5359","Payment","2025-01-10 12:02:56.524809","2025-01-10 12:02:56.524809","1"
"21","804","Email","1428","Payment","2025-01-05 04:45:08.933944","2025-01-05 04:45:08.933944","1"
"22","449","Email","1521","Payment","2025-01-12 12:47:56.325722","2025-01-12 12:47:56.325722","1"
"23","561","Email","3538","Payment","2025-01-08 23:23:11.752001","2025-01-08 23:23:11.752001","1"
"24","843","Email","2004","Payment","2025-01-17 14:13:30.025386","2025-01-17 14:13:30.025386","1"
"25","472","Email","1322","Payment","2025-01-01 02:40:37.690382","2025-01-01 02:40:37.690382","1"
"26","142","Email","883","Payment","2025-01-02 19:42:44.333236","2025-01-02 19:42:44.333236","1"
"27","330","Email","4441","Payment","2025-01-12 12:26:34.487221","2025-01-12 12:26:34.487221","1"
