"id","start_id","start_vertex_type","end_id","end_vertex_type","available_since","inserted_at","schema_version"
"1","353","Phone","4106","Payment","2025-01-22 13:59:13.455653","2025-01-22 13:59:13.455653","1"
"2","684","Phone","4929","Payment","2025-01-02 07:07:03.205937","2025-01-02 07:07:03.205937","1"
"3","918","Phone","2668","Payment","2025-01-21 02:27:26.748937","2025-01-21 02:27:26.748937","1"
"4","526","Phone","6043","Payment","2025-01-13 02:43:20.760232","2025-01-13 02:43:20.760232","1"
"5","328","Phone","3873","Payment","2025-01-23 08:36:06.748289","2025-01-23 08:36:06.748289","1"
"6","157","Phone","5832","Payment","2025-01-08 14:45:15.973893","2025-01-08 14:45:15.973893","1"
"7","685","Phone","5143","Payment","2025-01-05 16:42:29.166963","2025-01-05 16:42:29.166963","1"
"8","437","Phone","6609","Payment","2025-01-21 23:08:22.606044","2025-01-21 23:08:22.606044","1"
"9","544","Phone","3522","Payment","2025-01-10 08:32:35.994325","2025-01-10 08:32:35.994325","1"
"10","942","Phone","6602","Payment","2025-01-15 06:48:00.273636","2025-01-15 06:48:00.273636","1"
"11","197","Phone","2775","Payment","2025-01-02 20:30:35.404121","2025-01-02 20:30:35.404121","1"
"12","832","Phone","3699","Payment","2025-01-21 05:25:49.960567","2025-01-21 05:25:49.960567","1"
"13","647","Phone","1739","Payment","2025-01-13 09:46:57.197227","2025-01-13 09:46:57.197227","1"
"14","955","Phone","2968","Payment","2025-01-08 23:01:53.125382","2025-01-08 23:01:53.125382","1"
"15","313","Phone","3285","Payment","2025-01-16 04:55:10.409173","2025-01-16 04:55:10.409173","1"
"16","583","Phone","6974","Payment","2025-01-15 16:19:56.081087","2025-01-15 16:19:56.081087","1"
"17","99","Phone","2334","Payment","2025-01-20 11:58:12.599469","2025-01-20 11:58:12.599469","1"
"18","574","Phone","3228","Payment","2025-01-07 21:22:01.876076","2025-01-07 21:22:01.876076","1"
"19","7","Phone","3651","Payment","2025-01-05 03:12:28.018230","2025-01-05 03:12:28.018230","1"
"20","269","Phone","671","Payment","2025-01-10 17:53:10.699180","2025-01-10 17:53:10.699180","1"
"21","300","Phone","6547","Payment","2025-01-18 21:26:27.035088","2025-01-18 21:26:27.035088","1"
"22","927","Phone","6761","Payment","2025-01-13 14:37:37.794472","2025-01-13 14:37:37.794472","1"
"23","306","Phone","4242","Payment","2025-01-15 14:37:02.551253","2025-01-15 14:37:02.551253","1"
"24","107","Phone","1940","Payment","2025-01-18 03:03:48.109769","2025-01-18 03:03:48.109769","1"
"25","811","Phone","4549","Payment","2025-01-06 17:32:44.511652","2025-01-06 17:32:44.511652","1"
"26","639","Phone","3071","Payment","2025-01-13 04:58:15.615667","2025-01-13 04:58:15.615667","1"
"27","189","Phone","1521","Payment","2025-01-20 18:30:38.389352","2025-01-20 18:30:38.389352","1"
"28","758","Phone","190","Payment","2025-01-11 23:48:52.281171","2025-01-11 23:48:52.281171","1"
"29","90","Phone","6018","Payment","2025-01-17 22:12:05.656169","2025-01-17 22:12:05.656169","1"
"30","229","Phone","5808","Payment","2025-01-12 15:25:37.106694","2025-01-12 15:25:37.106694","1"
"31","311","Phone","2249","Payment","2025-01-19 06:06:54.030054","2025-01-19 06:06:54.030054","1"
"32","801","Phone","511","Payment","2025-01-03 00:20:35.985528","2025-01-03 00:20:35.985528","1"
"33","727","Phone","4245","Payment","2025-01-09 16:20:26.052558","2025-01-09 16:20:26.052558","1"
"34","862","Phone","993","Payment","2025-01-20 07:30:05.646179","2025-01-20 07:30:05.646179","1"
"35","498","Phone","5971","Payment","2025-01-01 08:09:12.033859","2025-01-01 08:09:12.033859","1"
"36","910","Phone","2925","Payment","2025-01-20 23:04:29.503314","2025-01-20 23:04:29.503314","1"
"37","299","Phone","6005","Payment","2025-01-08 12:30:26.863809","2025-01-08 12:30:26.863809","1"
"38","463","Phone","1102","Payment","2025-01-10 04:24:56.919367","2025-01-10 04:24:56.919367","1"
"39","124","Phone","2703","Payment","2025-01-14 11:31:25.389620","2025-01-14 11:31:25.389620","1"
"40","873","Phone","5799","Payment","2025-01-16 20:23:08.243257","2025-01-16 20:23:08.243257","1"
"41","240","Phone","6421","Payment","2025-01-08 23:50:09.420277","2025-01-08 23:50:09.420277","1"
"42","32","Phone","159","Payment","2025-01-01 02:08:51.667397","2025-01-01 02:08:51.667397","1"
"43","819","Phone","5282","Payment","2025-01-19 23:52:02.447058","2025-01-19 23:52:02.447058","1"
"44","201","Phone","2638","Payment","2025-01-12 09:39:46.790883","2025-01-12 09:39:46.790883","1"
"45","946","Phone","5090","Payment","2025-01-11 22:38:34.165789","2025-01-11 22:38:34.165789","1"
"46","19","Phone","4319","Payment","2025-01-12 22:50:38.029755","2025-01-12 22:50:38.029755","1"
"47","363","Phone","4033","Payment","2025-01-22 03:38:35.196435","2025-01-22 03:38:35.196435","1"
"48","137","Phone","2953","Payment","2025-01-13 05:47:00.758831","2025-01-13 05:47:00.758831","1"
