"id","start_id","start_vertex_type","end_id","end_vertex_type","available_since","inserted_at","schema_version"
"1","1489","CryptoAddress","4288","Payment","2025-01-09 06:42:07.326374","2025-01-09 06:42:07.326374","1"
"2","522","CryptoAddress","3554","Payment","2025-01-04 14:28:57.477580","2025-01-04 14:28:57.477580","1"
"3","22","CryptoAddress","2995","Payment","2025-01-22 08:04:37.784536","2025-01-22 08:04:37.784536","1"
"4","893","CryptoAddress","5310","Payment","2025-01-17 13:31:21.320449","2025-01-17 13:31:21.320449","1"
"5","1","CryptoAddress","6728","Payment","2025-01-06 03:14:32.492010","2025-01-06 03:14:32.492010","1"
"6","304","CryptoAddress","1864","Payment","2025-01-11 17:41:13.785224","2025-01-11 17:41:13.785224","1"
"7","156","CryptoAddress","2442","Payment","2025-01-08 18:17:38.815558","2025-01-08 18:17:38.815558","1"
"8","613","CryptoAddress","516","Payment","2025-01-06 05:13:54.239207","2025-01-06 05:13:54.239207","1"
"9","287","CryptoAddress","280","Payment","2025-01-09 20:43:02.636882","2025-01-09 20:43:02.636882","1"
"10","850","CryptoAddress","917","Payment","2025-01-03 19:59:11.055218","2025-01-03 19:59:11.055218","1"
"11","1339","CryptoAddress","1669","Payment","2025-01-20 03:45:09.931274","2025-01-20 03:45:09.931274","1"
"12","576","CryptoAddress","4049","Payment","2025-01-10 03:28:39.530653","2025-01-10 03:28:39.530653","1"
"13","1082","CryptoAddress","2405","Payment","2025-01-12 08:50:09.681399","2025-01-12 08:50:09.681399","1"
"14","40","CryptoAddress","477","Payment","2025-01-04 03:49:49.886210","2025-01-04 03:49:49.886210","1"
"15","262","CryptoAddress","2231","Payment","2025-01-08 09:47:40.237069","2025-01-08 09:47:40.237069","1"
"16","1587","CryptoAddress","5904","Payment","2025-01-23 00:00:04.321718","2025-01-23 00:00:04.321718","1"
"17","954","CryptoAddress","2842","Payment","2025-01-11 22:30:00.139309","2025-01-11 22:30:00.139309","1"
"18","1273","CryptoAddress","2170","Payment","2025-01-11 00:11:01.102838","2025-01-11 00:11:01.102838","1"
"19","122","CryptoAddress","2983","Payment","2025-01-03 06:58:35.526156","2025-01-03 06:58:35.526156","1"
"20","223","CryptoAddress","5384","Payment","2025-01-21 16:30:17.416827","2025-01-21 16:30:17.416827","1"
"21","1318","CryptoAddress","3649","Payment","2025-01-14 05:05:15.594382","2025-01-14 05:05:15.594382","1"
"22","1327","CryptoAddress","6037","Payment","2025-01-15 01:39:32.326143","2025-01-15 01:39:32.326143","1"
"23","1006","CryptoAddress","1033","Payment","2025-01-14 02:58:24.368567","2025-01-14 02:58:24.368567","1"
"24","1312","CryptoAddress","3033","Payment","2025-01-18 04:46:55.544924","2025-01-18 04:46:55.544924","1"
"25","1026","CryptoAddress","2905","Payment","2025-01-14 21:15:54.537622","2025-01-14 21:15:54.537622","1"
"26","351","CryptoAddress","5049","Payment","2025-01-18 23:38:35.080527","2025-01-18 23:38:35.080527","1"
"27","192","CryptoAddress","4352","Payment","2025-01-09 01:13:03.732738","2025-01-09 01:13:03.732738","1"
"28","343","CryptoAddress","4573","Payment","2025-01-12 07:11:42.363544","2025-01-12 07:11:42.363544","1"
"29","876","CryptoAddress","3065","Payment","2025-01-20 16:08:45.061401","2025-01-20 16:08:45.061401","1"
"30","812","CryptoAddress","3656","Payment","2025-01-14 12:18:07.128829","2025-01-14 12:18:07.128829","1"
