"id","start_id","start_vertex_type","end_id","end_vertex_type","available_since","inserted_at","schema_version"
"1","610","Email","5881","Payment","2025-01-11 01:14:08.326677","2025-01-11 01:14:08.326677","1"
"2","736","Email","271","Payment","2025-01-18 10:36:15.743148","2025-01-18 10:36:15.743148","1"
"3","21","Email","5607","Payment","2025-01-02 21:30:29.927639","2025-01-02 21:30:29.927639","1"
"4","780","Email","6659","Payment","2025-01-04 05:36:14.563859","2025-01-04 05:36:14.563859","1"
"5","868","Email","5836","Payment","2025-01-06 05:59:54.170793","2025-01-06 05:59:54.170793","1"
"6","720","Email","3160","Payment","2025-01-18 16:45:36.945901","2025-01-18 16:45:36.945901","1"
"7","320","Email","1995","Payment","2025-01-08 21:36:03.149726","2025-01-08 21:36:03.149726","1"
"8","344","Email","3938","Payment","2025-01-06 05:52:34.274926","2025-01-06 05:52:34.274926","1"
"9","327","Email","4028","Payment","2025-01-19 20:57:49.296530","2025-01-19 20:57:49.296530","1"
"10","607","Email","4461","Payment","2025-01-16 21:19:48.674181","2025-01-16 21:19:48.674181","1"
"11","381","Email","5427","Payment","2025-01-08 15:55:09.395165","2025-01-08 15:55:09.395165","1"
"12","38","Email","1281","Payment","2025-01-17 04:29:13.615050","2025-01-17 04:29:13.615050","1"
"13","529","Email","163","Payment","2025-01-01 06:21:52.132764","2025-01-01 06:21:52.132764","1"
"14","208","Email","2062","Payment","2025-01-08 20:14:00.411824","2025-01-08 20:14:00.411824","1"
"15","469","Email","3820","Payment","2025-01-21 09:37:43.906845","2025-01-21 09:37:43.906845","1"
"16","257","Email","3631","Payment","2025-01-22 05:09:44.682655","2025-01-22 05:09:44.682655","1"
"17","468","Email","2147","Payment","2025-01-21 18:23:21.010533","2025-01-21 18:23:21.010533","1"
"18","781","Email","5944","Payment","2025-01-16 16:47:25.695971","2025-01-16 16:47:25.695971","1"
"19","429","Email","5250","Payment","2025-01-17 13:06:37.220497","2025-01-17 13:06:37.220497","1"
"20","735","Email","937","Payment","2025-01-08 04:10:53.506260","2025-01-08 04:10:53.506260","1"
"21","775","Email","134","Payment","2025-01-15 19:10:14.845238","2025-01-15 19:10:14.845238","1"
"22","802","Email","5196","Payment","2025-01-01 11:28:20.350574","2025-01-01 11:28:20.350574","1"
"23","650","Email","5972","Payment","2025-01-18 18:57:05.158301","2025-01-18 18:57:05.158301","1"
"24","832","Email","6259","Payment","2025-01-20 20:11:19.697672","2025-01-20 20:11:19.697672","1"
"25","171","Email","2439","Payment","2025-01-14 18:37:10.002946","2025-01-14 18:37:10.002946","1"
"26","264","Email","6737","Payment","2025-01-05 21:55:06.620887","2025-01-05 21:55:06.620887","1"
"27","548","Email","1793","Payment","2025-01-16 15:23:56.625258","2025-01-16 15:23:56.625258","1"
"28","701","Email","417","Payment","2025-01-15 15:22:53.786242","2025-01-15 15:22:53.786242","1"
"29","266","Email","5152","Payment","2025-01-02 09:50:53.924196","2025-01-02 09:50:53.924196","1"
"30","234","Email","3769","Payment","2025-01-03 17:53:11.368223","2025-01-03 17:53:11.368223","1"
"31","527","Email","1011","Payment","2025-01-06 05:57:52.495509","2025-01-06 05:57:52.495509","1"
"32","622","Email","6528","Payment","2025-01-06 12:15:50.717582","2025-01-06 12:15:50.717582","1"
"33","242","Email","5183","Payment","2025-01-16 20:57:08.971112","2025-01-16 20:57:08.971112","1"
"34","715","Email","3996","Payment","2025-01-19 13:25:41.964640","2025-01-19 13:25:41.964640","1"
"35","788","Email","5027","Payment","2025-01-15 14:22:12.176093","2025-01-15 14:22:12.176093","1"
"36","89","Email","5210","Payment","2025-01-01 11:33:00.578985","2025-01-01 11:33:00.578985","1"
"37","371","Email","4848","Payment","2025-01-20 14:39:17.868625","2025-01-20 14:39:17.868625","1"
"38","703","Email","813","Payment","2025-01-05 02:37:49.038145","2025-01-05 02:37:49.038145","1"
"39","144","Email","4216","Payment","2025-01-15 17:12:38.108837","2025-01-15 17:12:38.108837","1"
"40","701","Email","4699","Payment","2025-01-15 02:49:36.689894","2025-01-15 02:49:36.689894","1"
"41","470","Email","500","Payment","2025-01-15 21:09:23.515996","2025-01-15 21:09:23.515996","1"
"42","428","Email","5836","Payment","2025-01-05 23:55:08.335975","2025-01-05 23:55:08.335975","1"
"43","436","Email","3808","Payment","2025-01-17 00:01:32.782000","2025-01-17 00:01:32.782000","1"
"44","569","Email","4539","Payment","2025-01-08 19:17:42.745989","2025-01-08 19:17:42.745989","1"
"45","176","Email","6551","Payment","2025-01-19 22:09:06.400200","2025-01-19 22:09:06.400200","1"
"46","346","Email","6187","Payment","2025-01-16 20:16:26.330369","2025-01-16 20:16:26.330369","1"
"47","100","Email","3886","Payment","2025-01-14 17:49:55.227907","2025-01-14 17:49:55.227907","1"
