"id","start_id","start_vertex_type","end_id","end_vertex_type","available_since","inserted_at","schema_version"
"1","556","Phone","4616","Payment","2025-01-18 10:51:07.288131","2025-01-18 10:51:07.288131","1"
"2","720","Phone","77","Payment","2025-01-22 08:09:40.217870","2025-01-22 08:09:40.217870","1"
"3","587","Phone","3994","Payment","2025-01-18 10:14:44.166727","2025-01-18 10:14:44.166727","1"
"4","265","Phone","6061","Payment","2025-01-01 18:53:13.000183","2025-01-01 18:53:13.000183","1"
"5","425","Phone","3036","Payment","2025-01-10 20:05:03.763064","2025-01-10 20:05:03.763064","1"
"6","616","Phone","2694","Payment","2025-01-21 08:09:54.965661","2025-01-21 08:09:54.965661","1"
"7","652","Phone","1618","Payment","2025-01-14 17:08:05.177469","2025-01-14 17:08:05.177469","1"
"8","649","Phone","3881","Payment","2025-01-04 06:43:32.710808","2025-01-04 06:43:32.710808","1"
"9","888","Phone","4360","Payment","2025-01-13 12:22:19.538799","2025-01-13 12:22:19.538799","1"
"10","299","Phone","3042","Payment","2025-01-03 00:23:50.738085","2025-01-03 00:23:50.738085","1"
"11","31","Phone","529","Payment","2025-01-04 00:20:39.608439","2025-01-04 00:20:39.608439","1"
"12","473","Phone","2745","Payment","2025-01-02 21:11:07.858627","2025-01-02 21:11:07.858627","1"
"13","216","Phone","5167","Payment","2025-01-13 17:19:44.095295","2025-01-13 17:19:44.095295","1"
"14","785","Phone","4951","Payment","2025-01-18 09:40:12.657696","2025-01-18 09:40:12.657696","1"
"15","185","Phone","1201","Payment","2025-01-15 17:51:42.196145","2025-01-15 17:51:42.196145","1"
"16","11","Phone","3536","Payment","2025-01-17 02:16:27.337275","2025-01-17 02:16:27.337275","1"
"17","737","Phone","3911","Payment","2025-01-10 15:19:01.889546","2025-01-10 15:19:01.889546","1"
"18","842","Phone","1891","Payment","2025-01-08 10:55:19.526415","2025-01-08 10:55:19.526415","1"
"19","242","Phone","4831","Payment","2025-01-07 07:35:14.096264","2025-01-07 07:35:14.096264","1"
"20","567","Phone","619","Payment","2025-01-16 12:17:10.000132","2025-01-16 12:17:10.000132","1"
