"id","start_id","start_vertex_type","end_id","end_vertex_type"
"1","566","Person","892","Person"
"2","263","Person","409","Person"
"3","637","Person","788","Person"
"4","454","Person","487","Person"
"5","37","Person","926","Person"
"6","434","Person","964","Person"
"7","955","Person","23","Person"
"8","620","Person","563","Person"
"9","747","Person","608","Person"
"10","594","Person","159","Person"
"11","430","Person","614","Person"
"12","778","Person","653","Person"
"13","827","Person","212","Person"
"14","115","Person","337","Person"
"15","217","Person","139","Person"
"16","949","Person","723","Person"
"17","429","Person","938","Person"
"18","700","Person","392","Person"
"19","204","Person","746","Person"
"20","315","Person","391","Person"
"21","13","Person","603","Person"
"22","260","Person","831","Person"
"23","92","Person","182","Person"
"24","156","Person","630","Person"
"25","465","Person","419","Person"
"26","835","Person","217","Person"
"27","905","Person","71","Person"
"28","939","Person","711","Person"
"29","47","Person","656","Person"
"30","702","Person","596","Person"
"31","452","Person","563","Person"
"32","371","Person","341","Person"
"33","650","Person","924","Person"
"34","428","Person","236","Person"
"35","618","Person","426","Person"
"36","985","Person","282","Person"
"37","414","Person","953","Person"
"38","391","Person","12","Person"
"39","732","Person","413","Person"
"40","98","Person","475","Person"
"41","310","Person","530","Person"
"42","522","Person","261","Person"
"43","163","Person","290","Person"
"44","507","Person","993","Person"
"45","68","Person","544","Person"
"46","355","Person","873","Person"
"47","949","Person","893","Person"
"48","393","Person","715","Person"
"49","196","Person","271","Person"
"50","361","Person","86","Person"
"51","277","Person","639","Person"
"52","666","Person","741","Person"
"53","217","Person","113","Person"
"54","843","Person","630","Person"
"55","694","Person","809","Person"
"56","53","Person","256","Person"
"57","238","Person","98","Person"
"58","204","Person","150","Person"
"59","833","Person","877","Person"
"60","171","Person","292","Person"
"61","887","Person","273","Person"
"62","646","Person","942","Person"
"63","862","Person","465","Person"
"64","424","Person","50","Person"
"65","743","Person","603","Person"
"66","332","Person","510","Person"
"67","22","Person","706","Person"
"68","37","Person","832","Person"
"69","571","Person","3","Person"
"70","337","Person","713","Person"
"71","420","Person","714","Person"
"72","549","Person","499","Person"
"73","82","Person","664","Person"
"74","862","Person","716","Person"
"75","427","Person","665","Person"
"76","286","Person","69","Person"
"77","310","Person","750","Person"
"78","301","Person","119","Person"
"79","112","Person","186","Person"
"80","22","Person","41","Person"
"81","834","Person","416","Person"
"82","214","Person","171","Person"
"83","368","Person","151","Person"
"84","480","Person","210","Person"
"85","774","Person","994","Person"
"86","767","Person","570","Person"
"87","305","Person","624","Person"
"88","84","Person","750","Person"
"89","233","Person","750","Person"
"90","206","Person","573","Person"
"91","264","Person","766","Person"
